municipality,office_id,seat,person_name,current_status,source_url,retrieved_on,notes
Southwick,southwick-ma/board-assessors,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/district-school-committee,5,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/moderator,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/park-recreation-commission,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/park-recreation-commission,2,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/park-recreation-commission,3,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/park-recreation-commission,4,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/park-recreation-commission,5,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/planning-board,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/planning-board,2,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/planning-board,3,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/planning-board,4,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/planning-board,5,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/select-board,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/select-board,2,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/select-board,3,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/housing-authority,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/housing-authority,2,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/housing-authority,3,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/housing-authority,4,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/library-trustee,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/library-trustee,2,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/library-trustee,3,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/library-trustee,4,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/library-trustee,5,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/library-trustee,6,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/water-commission,1,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/water-commission,2,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Southwick,southwick-ma/water-commission,3,,unresolved,https://www.southwickma.org/town-clerk/pages/elections-archive,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/moderator,1,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/select-board,1,Gary E. Woodbury,verified-current,https://www.spencerma.gov/1239/Board-of-Selectmen,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/select-board,2,Jonathan Viner,verified-current,https://www.spencerma.gov/1239/Board-of-Selectmen,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/select-board,3,Christopher Woodbury,verified-current,https://www.spencerma.gov/1239/Board-of-Selectmen,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/select-board,4,Jared B. Grigg,verified-current,https://www.spencerma.gov/1239/Board-of-Selectmen,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/select-board,5,Norman Letendre Jr.,verified-current,https://www.spencerma.gov/1239/Board-of-Selectmen,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/town-clerk,1,Sandra J. Fritze,verified-current,https://www.spencerma.gov/DocumentCenter/View/3988/2025-Annual-Town-Report,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/treasurer-collector,1,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/board-assessors,1,Elaine Jaquith,verified-current,https://www.spencerma.gov/1238/Board-of-Assessors,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/board-assessors,2,Nancy E. Herholz,verified-current,https://www.spencerma.gov/1238/Board-of-Assessors,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/board-assessors,3,Pamela A. Woodbury,verified-current,https://www.spencerma.gov/1238/Board-of-Assessors,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/spencer-east-brookfield-school-committee,1,Jeffrey Sauvageau,verified-current,https://www.spencerma.gov/DocumentCenter/View/3988/2025-Annual-Town-Report,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/spencer-east-brookfield-school-committee,2,Melinda O’Connor,verified-current,https://www.spencerma.gov/DocumentCenter/View/3988/2025-Annual-Town-Report,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/spencer-east-brookfield-school-committee,3,Jason P. Monette,verified-current,https://www.spencerma.gov/DocumentCenter/View/3988/2025-Annual-Town-Report,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/spencer-east-brookfield-school-committee,4,Amanda Monette,verified-current,https://www.spencerma.gov/DocumentCenter/View/3988/2025-Annual-Town-Report,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/spencer-east-brookfield-school-committee,5,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/southern-worcester-vocational-school-committee,1,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/southern-worcester-vocational-school-committee,2,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/southern-worcester-vocational-school-committee,3,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/water-commission,1,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/water-commission,2,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/water-commission,3,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/park-commission,1,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/park-commission,2,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/park-commission,3,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/library-trustee,1,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/library-trustee,2,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/library-trustee,3,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/board-health,1,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/board-health,2,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/board-health,3,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/tree-warden,1,Raymond I. Holmes Jr.,verified-current,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/housing-authority,1,Donna Flannery,verified-current,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/housing-authority,2,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/housing-authority,3,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/housing-authority,4,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/sewer-commission,1,Lawrence H. Dufault,verified-current,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Spencer,spencer-ma/sewer-commission,2,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/sewer-commission,3,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/constable,1,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/constable,2,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Spencer,spencer-ma/constable,3,,unresolved,https://www.spencerma.gov/CivicAlerts.aspx?AID=42,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Springfield,springfield-ma/mayor,1,Domenic J. Sarno,verified-current,https://www.springfield-ma.gov/cos/mayor,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/city-council-at-large,1,Jose M. Delgado,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/city-council-at-large,2,Justin J. Hurst,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/city-council-at-large,3,Tracye Whitfield,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/city-council-at-large,4,Kateri B. Walsh,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/city-council-at-large,5,Brian Santaniello,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/city-council-ward,1,Maria E. Perez,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/city-council-ward,2,Michael Fenton,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/city-council-ward,3,Melvin Edwards,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/city-council-ward,4,Malo Brown,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/city-council-ward,5,Lavar Click-Bruce,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/city-council-ward,6,Victor G. Davila,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/city-council-ward,7,Gerry J. Martin,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/city-council-ward,8,Zaida Govan,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/school-committee-at-large,1,Denise Marie Hurst,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/school-committee-at-large,2,Latonia Monroe Naylor,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/school-committee-district,1,Gumersindo M. Gomez,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/school-committee-district,2,Barbara Gresham,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/school-committee-district,3,Rosa M. Valentin,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Springfield,springfield-ma/school-committee-district,4,Ayanna Crawford,verified-current,https://www.springfield-ma.gov/elections/votecounts.php,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/board-assessors,1,Eric Lawrence Newman,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/board-assessors,2,Donlin K. Murray,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/board-assessors,3,Richard Alton Sheppard,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/board-health,1,Toni Torres Laffond,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/board-health,2,Richard G. Lane,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/board-health,3,Gary C. Menin Sr.,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/select-board,1,Kirsten Newman,verified-current,https://www.sterling-ma.gov/254/Board-of-Selectmen,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/select-board,2,Maureen Cranson,verified-current,https://www.sterling-ma.gov/254/Board-of-Selectmen,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/select-board,3,Patricia Joan Ward,verified-current,https://www.sterling-ma.gov/254/Board-of-Selectmen,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/select-board,4,David A. Smith,verified-current,https://www.sterling-ma.gov/254/Board-of-Selectmen,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/select-board,5,Ronald A. Furmaniuk,verified-current,https://www.sterling-ma.gov/254/Board-of-Selectmen,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/constable,1,Rebecca Colleen Gray,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/constable,2,Nicholas Joseph Finizio,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/dpw-board,1,Blaine D. Bershad,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/dpw-board,2,Andrew Parker,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/dpw-board,3,Deane S. Day,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/library-trustee,1,Heide Marie Martin,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/library-trustee,2,Shaun B. Francis,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/library-trustee,3,Audrey E. Cutler,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/library-trustee,4,Amanda Sayut,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/library-trustee,5,Sara J. Petullo,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/library-trustee,6,Alicia Mary McHugh,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/moderator,1,Richard G. Lane,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/448/2025-Elected-Officials--PDF,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/planning-board,1,Druh Kolyr,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/planning-board,2,John J. Santoro,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/planning-board,3,Michael Temple,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/planning-board,4,Eric Newman,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Sterling,sterling-ma/planning-board,5,Carl Corrinne,verified-current,https://www.sterling-ma.gov/DocumentCenter/View/8327/2026-05-11-ATE-OFFICIAL-RESULTS?bidId=,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
