county_slug,post_id,director_name,role,term_start,source_title,source_url,retrieved
montgomery,montgomery-tx-cad/director-place-1,Gary Beck,Director,,"May 4 2024 election, defeated Freddie Brooks, Place 1 -- confirmed elected member on current MCAD board listing",https://mctxgop.org/mcnews/appraisal-board-election,2026-09-02
montgomery,montgomery-tx-cad/director-place-2,Pete Palmer,Director,,"May 4 2024 election, defeated Luis Pedraza, Place 2 -- confirmed elected member on current MCAD board listing",https://mctxgop.org/mcnews/appraisal-board-election,2026-09-02
montgomery,montgomery-tx-cad/director-place-3,Webb Melder,Director,,"May 4 2024 election, Place 3 -- confirmed elected member on current MCAD board listing",https://mctxgop.org/mcnews/appraisal-board-election,2026-09-02
williamson,williamson-tx-cad/director-place-1,Hope Hisle-Piper,Director,,"Williamson CAD Board of Directors page, Place 1, publicly elected (term expires 12/31/26, matching the May 2024 special-election initial term)",https://www.wcad.org/board-of-directors/,2026-09-02
williamson,williamson-tx-cad/director-place-2,Mike Sanders,Director,,"Williamson CAD Board of Directors page, Place 2, publicly elected (term expires 12/31/26)",https://www.wcad.org/board-of-directors/,2026-09-02
williamson,williamson-tx-cad/director-place-3,Mason Moses,Director,,"Williamson CAD Board of Directors page, Place 3 (Secretary), publicly elected (term expires 12/31/26)",https://www.wcad.org/board-of-directors/,2026-09-02
bell,bell-tx-cad/director-place-1,Kevin Koch,Chair,,"Bell County Tax Appraisal District board page, Elected -- Place 1, Chairman",https://bellcad.org/board-members/,2026-09-02
bell,bell-tx-cad/director-place-2,Gopal Guttikonda,Director,,"Bell County Tax Appraisal District board page, Elected -- Place 2",https://bellcad.org/board-members/,2026-09-02
bell,bell-tx-cad/director-place-3,Ashley Smith,Director,,"Bell County Tax Appraisal District board page, Elected -- Place 3",https://bellcad.org/board-members/,2026-09-02
nueces,nueces-tx-cad/director-place-1,James Magill,Director,,"Port Aransas South Jetty, May 4 2024 election: Magill 3144 votes, defeated Alcoser/Anderson/Lawing, no runoff needed",https://www.portasouthjetty.com/articles/appraisal-board-election-results-released/,2026-09-02
nueces,nueces-tx-cad/director-place-2,John M. Cudd,Director,,"Port Aransas South Jetty, May 4 2024 election: Cudd 2953 votes, defeated Pool/Titlebaum, no runoff needed",https://www.portasouthjetty.com/articles/appraisal-board-election-results-released/,2026-09-02
nueces,nueces-tx-cad/director-place-3,Ed Bennett,Director,,"Port Aransas South Jetty, June 15 2024 runoff (after no majority in the May 4 general): Bennett 1912 votes (71.9%) vs Madej 747 (28.1%)",https://www.portasouthjetty.com/articles/bennett-wins-runoff-for-spot-on-appraisal-district-board-of-directors/,2026-09-02
galveston,galveston-tx-cad/director-place-1,Warren Clark,Director,,"Galveston CAD 2024 board election: unopposed, certified elected under Election Code 2.052, Position 1 -- confirmed on current board page (term expires 2026)",https://galvestoncad.org/board-of-directors/,2026-09-02
galveston,galveston-tx-cad/director-place-2,Kathy Preston,Director,,"Galveston CAD 2024 board election: unopposed, certified elected, Position 2 -- confirmed on current board page (term expires 2026)",https://galvestoncad.org/board-of-directors/,2026-09-02
galveston,galveston-tx-cad/director-place-3,Dr. William Pate,Director,,"Galveston CAD 2024 board election: unopposed, certified elected, Position 3 -- confirmed on current board page (term expires 2026)",https://galvestoncad.org/board-of-directors/,2026-09-02
lubbock,lubbock-tx-cad/director-place-1,Micah O'Hair,Director,,"Lubbock CAD May 4 2024 election, Place 1",https://www.everythinglubbock.com/news/what-you-should-know-about-the-lubbock-appraisal-district-board-election/,2026-09-02
lubbock,lubbock-tx-cad/director-place-2,Jim Baxa,Director,,"Lubbock CAD May 4 2024 election, Place 2",https://www.everythinglubbock.com/news/what-you-should-know-about-the-lubbock-appraisal-district-board-election/,2026-09-02
lubbock,lubbock-tx-cad/director-place-3,Tom Keisling,Director,,"Lubbock CAD, June 15 2024 runoff for At-Large Place 3 (no majority in May 4 general)",https://www.everythinglubbock.com/news/what-you-should-know-about-the-lubbock-appraisal-district-board-election/,2026-09-02
mclennan,mclennan-tx-cad/director-place-1,John Kinnaird,Secretary,,"May 4 2024 election: Kinnaird elected Place 1 (Secretary), defeating William Vernon Jr./Dennis DeGraff/David Schleicher among others",https://wacotrib.com/news/local/government-politics/3-elected-for-mclennan-countys-appraisal-district/article_fde6c854-0ab2-11ef-861a-3fed83a93fa9.html,2026-09-02
mclennan,mclennan-tx-cad/director-place-2,Perry Felton,Director,,"May 4 2024 election: Felton elected Place 2, 55.55% of vote",https://wacotrib.com/news/local/government-politics/3-elected-for-mclennan-countys-appraisal-district/article_fde6c854-0ab2-11ef-861a-3fed83a93fa9.html,2026-09-02
mclennan,mclennan-tx-cad/director-place-3,Linda Hatchel,Director,,"May 4 2024 election: Hatchel elected Place 3, 54.63% of vote",https://wacotrib.com/news/local/government-politics/3-elected-for-mclennan-countys-appraisal-district/article_fde6c854-0ab2-11ef-861a-3fed83a93fa9.html,2026-09-02
