tea_cdn,district_name,category,reason
015915,Northside ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
015916,Judson ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
019901,Dekalb ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
019907,Texarkana ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
020905,Brazosport ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
021902,Bryan ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
022901,Alpine ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
024901,Brooks County ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=3, smd_seats=4 (districts [1, 2, 3, 4]) -- directory has no per-person seat number to map named trustees to numbered posts"
025902,Brownwood ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
028902,Lockhart ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=3, smd_seats=4 (districts [1, 2, 3, 4]) -- directory has no per-person seat number to map named trustees to numbered posts"
029901,Calhoun County ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=1, smd_seats=6 (districts [1, 2, 3, 4, 5, 6]) -- directory has no per-person seat number to map named trustees to numbered posts"
030906,Eula ISD,at_large_duplicate_name,same person listed 2+ times in the directory (likely once per office held) -- ambiguous which row(s) to keep
034903,Hughes Springs ISD,at_large_over_count,8 named rows vs board_size=7 -- export likely holds a stale/duplicate entry
035901,Dimmitt ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
043907,McKinney ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
044902,Wellington ISD,at_large_over_count,8 named rows vs board_size=7 -- export likely holds a stale/duplicate entry
046901,New Braunfels ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
046902,Comal ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
050902,Gatesville ISD,at_large_over_count,8 named rows vs board_size=7 -- export likely holds a stale/duplicate entry
052901,Crane ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
054901,Crosbyton CISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
054902,Lorenzo ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
054903,Ralls ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
057905,Dallas ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=9, at_large=0, smd_seats=9 (districts [1, 2, 3, 4, 5, 6, 7, 8, 9]) -- directory has no per-person seat number to map named trustees to numbered posts"
057910,Grand Prairie ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 4, 5, 6]) -- directory has no per-person seat number to map named trustees to numbered posts"
057913,Lancaster ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
057916,Richardson ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
058906,Lamesa ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
059901,Hereford ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
061902,Lewisville ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
061905,Krum ISD,at_large_over_count,8 named rows vs board_size=7 -- export likely holds a stale/duplicate entry
062901,Cuero ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
063903,Spur ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
068901,Ector County ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
070915,Maypearl ISD,at_large_duplicate_name,same person listed 2+ times in the directory (likely once per office held) -- ambiguous which row(s) to keep
071901,Clint ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
071902,El Paso ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
071905,Ysleta ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
071909,Socorro ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
073903,Marlin ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
074903,Bonham ISD,at_large_over_count,8 named rows vs board_size=7 -- export likely holds a stale/duplicate entry
077901,Floydada Collegiate ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
077902,Lockney ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
079901,Lamar CISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
083901,Seagraves ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
083903,Seminole ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=3, smd_seats=4 (districts [1, 2, 3, 4]) -- directory has no per-person seat number to map named trustees to numbered posts"
084901,Dickinson ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
084902,Galveston ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
084906,Texas City ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=1, smd_seats=6 (districts [1, 2, 3, 4, 5, 6]) -- directory has no per-person seat number to map named trustees to numbered posts"
084908,Hitchcock ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
084910,Clear Creek ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
088902,Goliad ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
089901,Gonzales ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
091903,Denison ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
092903,Longview ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
094901,Seguin ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
095905,Plainview ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
101903,Alief ISD,at_large_duplicate_name,same person listed 2+ times in the directory (likely once per office held) -- ambiguous which row(s) to keep
101906,Crosby ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=1, smd_seats=6 (districts [1, 2, 3, 4, 5, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
101911,Goose Creek CISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
102902,Marshall ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
104901,Haskell CISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
105902,San Marcos CISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
105906,Hays CISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
109904,Hillsboro ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
110902,Levelland ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
113901,Crockett ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
114901,Big Spring ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
114902,Coahoma ISD,at_large_duplicate_name,same person listed 2+ times in the directory (likely once per office held) -- ambiguous which row(s) to keep
114904,Forsan ISD,at_large_duplicate_name,same person listed 2+ times in the directory (likely once per office held) -- ambiguous which row(s) to keep
116905,Greenville ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
120901,Edna ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
122901,Ft Davis ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=3, smd_seats=4 (districts [1, 2, 3, 4]) -- directory has no per-person seat number to map named trustees to numbered posts"
123910,Beaumont ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
124901,Jim Hogg County ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=3, smd_seats=4 (districts [1, 2, 3, 4]) -- directory has no per-person seat number to map named trustees to numbered posts"
127904,Hawley ISD,at_large_over_count,8 named rows vs board_size=7 -- export likely holds a stale/duplicate entry
128901,Karnes City ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
128902,Kenedy ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
128903,Runge ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
129906,Terrell ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
130902,Comfort ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
133903,Kerrville ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
139909,Paris ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
140904,Littlefield ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
147902,Groesbeck ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
149901,George West ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
150901,Llano ISD,at_large_over_count,8 named rows vs board_size=7 -- export likely holds a stale/duplicate entry
152901,Lubbock ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
152903,Slaton ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
153904,Tahoka ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
156902,Stanton ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
156905,Grady ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
157901,Mason ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
160901,Brady ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
161906,La Vega ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
161908,Mart ISD,at_large_over_count,8 named rows vs board_size=7 -- export likely holds a stale/duplicate entry
161914,Waco ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
163901,Devine ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
163902,D'Hanis ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
163904,Hondo ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
163908,Medina Valley ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
164901,Menard ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
165901,Midland ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
168901,Colorado ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
169910,Forestburg ISD,at_large_over_count,8 named rows vs board_size=7 -- export likely holds a stale/duplicate entry
172902,Daingerfield-Lone Star ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
174904,Nacogdoches ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
177902,Sweetwater ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
178904,Corpus Christi ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=3, smd_seats=4 (districts [1, 2, 3, 4]) -- directory has no per-person seat number to map named trustees to numbered posts"
178905,Driscoll ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
183902,Carthage ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
186902,Fort Stockton ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
188901,Amarillo ISD,at_large_over_count,8 named rows vs board_size=7 -- export likely holds a stale/duplicate entry
192901,Reagan County ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
196903,Refugio ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
200901,Ballinger ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
200904,Winters ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
201902,Henderson ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
205901,Aransas Pass ISD,at_large_duplicate_name,same person listed 2+ times in the directory (likely once per office held) -- ambiguous which row(s) to keep
207901,Schleicher ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=3, smd_seats=4 (districts [1, 2, 3, 4]) -- directory has no per-person seat number to map named trustees to numbered posts"
208902,Snyder ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
212905,Tyler ISD,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts"
212910,Winona ISD,at_large_duplicate_name,same person listed 2+ times in the directory (likely once per office held) -- ambiguous which row(s) to keep
216901,Sterling City ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
218901,Sonora ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=3, smd_seats=4 (districts [1, 2, 3, 4]) -- directory has no per-person seat number to map named trustees to numbered posts"
219903,Tulia ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
219905,Kress ISD,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts"
