name,county,entity_type,status,website,report_year,spd_id,notes
Fort Bend County Water Control and Improvement District #2,Fort Bend County,Water Control and Improvement District,ACTIVE,https://fbcwcid2.com,2026,103226304,
Fort Bend County Water Control and Improvement District #2 Defined Area # 1,Fort Bend County,Water Control and Improvement District,ACTIVE,https://fbcwcid2.com,2026,103227299,
Fort Bend County Water Control and Improvement District #3,Fort Bend County,Water Control and Improvement District,ACTIVE,https://www.fbcwcid3.com,2026,103226138,
Fort Bend County Water Control and Improvement District #8,Fort Bend County,Water Control and Improvement District,ACTIVE,,2026,103226841,
Franklin County Water District,Franklin County,Water Control and Improvement District,ACTIVE,https://www.fcwd.com,2026,103227612,
Frisco West Water Control and Improvement District of Denton County,Denton County,Water Control and Improvement District,ACTIVE,https://fwgov.org/,2026,103227045,
Galveston County Water Control and Improvement District #1,Galveston County,Water Control and Improvement District,ACTIVE,https://www.wcid1.com,2026,103225810,
Galveston County Water Control and Improvement District #12,Galveston County,Water Control and Improvement District,ACTIVE,http://galvcowcid12.com/,2026,103227114,
Galveston County Water Control and Improvement District #8,Galveston County,Water Control and Improvement District,ACTIVE,https://gcwcid8.com,2026,103226613,
Galveston Water Supply and Improvement District #19,Galveston County,Water Control and Improvement District,ACTIVE,https://www.gcwcid19.org,2026,103227055,
Greenhawe Water Control and Improvement District #2,Hays County,Water Control and Improvement District,ACTIVE,https://abaustin.sharefile.com/share/view/sd538f44a2d14aa28/fo8bae34-60bd-46b0-aad8-16dd769f1b98,2026,103226982,
Hardin County Water Control and Improvement District #1,Hardin County,Water Control and Improvement District,ACTIVE,https://www.pinewoodwaterboard.com,2026,103225692,
Harris County Improvement District #12,Harris County,Water Control and Improvement District,ACTIVE,,2026,103227889,
Harris County Municipal Utility District #91,Harris County,Water Control and Improvement District,INACTIVE,,2026,103226063,
Harris County Water Control and Improvement District  #36,Harris County,Water Control and Improvement District,ACTIVE,https://www.hcwcid36.com,2026,103225800,
Harris County Water Control and Improvement District #1,Harris County,Water Control and Improvement District,ACTIVE,,2026,103226552,
Harris County Water Control and Improvement District #109,Harris County,Water Control and Improvement District,ACTIVE,,2026,103226025,
Harris County Water Control and Improvement District #110,Harris County,Water Control and Improvement District,ACTIVE,https://wcid110.com,2026,103225836,
Harris County Water Control and Improvement District #113,Harris County,Water Control and Improvement District,ACTIVE,https://www.bli-tax.com/harris-county-wcid-113-2/,2026,103227074,
Harris County Water Control and Improvement District #116,Harris County,Water Control and Improvement District,ACTIVE,,2026,103225980,
Harris County Water Control and Improvement District #132,Harris County,Water Control and Improvement District,ACTIVE,https://www.hcwcid132.com,2026,103227195,
Harris County Water Control and Improvement District #133,Harris County,Water Control and Improvement District,ACTIVE,,2026,103227255,
Harris County Water Control and Improvement District #145,Harris County,Water Control and Improvement District,ACTIVE,,2026,103226256,
Harris County Water Control and Improvement District #155,Harris County,Water Control and Improvement District,ACTIVE,,2026,103226139,
Harris County Water Control and Improvement District #156,Harris County,Water Control and Improvement District,ACTIVE,,2026,103226328,
Harris County Water Control and Improvement District #157,Harris County,Water Control and Improvement District,ACTIVE,,2026,103226028,
Harris County Water Control and Improvement District #159,Harris County,Water Control and Improvement District,ACTIVE,,2026,103226031,
Harris County Water Control and Improvement District #161,Harris County,Water Control and Improvement District,ACTIVE,https://districtdirectory.org/harris-county/harris-county-water-control-improvement-district-no-161/,2026,103226207,
Harris County Water Control and Improvement District #21,Harris County,Water Control and Improvement District,ACTIVE,,2026,103225619,
Harris County Water Control and Improvement District #50,Harris County,Water Control and Improvement District,ACTIVE,https://www.wcid50.com,2026,103226906,
Harris County Water Control and Improvement District #70,Harris County,Water Control and Improvement District,ACTIVE,https://www.hcwcid70.com,2026,103227044,
Harris County Water Control and Improvement District #84,Harris County,Water Control and Improvement District,ACTIVE,,2026,103226369,
Harris County Water Control and Improvement District #89,Harris County,Water Control and Improvement District,ACTIVE,,2026,103227258,
Harris County Water Control and Improvement District #91,Harris County,Water Control and Improvement District,ACTIVE,https://www.hcwcid91.org,2026,103227759,
Harris County Water Control and Improvement District #96,Harris County,Water Control and Improvement District,ACTIVE,https://hcwcid96.com,2026,103226112,
Harris County Water Control and Improvement District #99,Harris County,Water Control and Improvement District,ACTIVE,https://www.HCWCID99.com,2026,103226266,
Harris County Water Control and Improvement District No. 158,Harris County,Water Control and Improvement District,ACTIVE,,2026,103228258,
Harris County Water Control and Improvement District-Fondren Road,Harris County,Water Control and Improvement District,ACTIVE,https://www.sklawdistrictdata.org,2026,103227760,
Harris County Water Control and Improvment District No. 92,Harris County,Water Control and Improvement District,ACTIVE,,2026,103227907,
Hays County Water Control and Improvement District #1,Hays County,Water Control and Improvement District,ACTIVE,https://www.hayswcid.org/hwcid-1/,2026,103227374,
Hays County Water Control and Improvement District #2,Hays County,Water Control and Improvement District,ACTIVE,https://www.hayswcid.org/hwcid-2/,2026,103227400,
Hidalgo County Water Control and Improvement District #18,Hidalgo County,Water Control and Improvement District,ACTIVE,,2026,103227915,
Hidalgo County Water Control and Improvement District #19,Hidalgo County,Water Control and Improvement District,ACTIVE,,2026,103227532,
Hidalgo County Water Improvement District #3,Hidalgo County,Water Control and Improvement District,ACTIVE,,2026,103227288,
Hudspeth County Water Control and Improvement District #1,Hudspeth County,Water Control and Improvement District,ACTIVE,,2026,103225642,
Inverness Forest Improvement District,Harris County,Water Control and Improvement District,ACTIVE,https://www.invernessfid.org/,2026,103225977,
Jackson County Water Control & Improvement District #1,Jackson County,Water Control and Improvement District,ACTIVE,,2026,103227782,
Jefferson County Water Control and Improvement District #10,Jefferson County,Water Control and Improvement District,ACTIVE,https://jcwcid10.com,2026,103226267,
Kaufman County Fresh Water Supply District #1-A,Kaufman County,Water Control and Improvement District,ACTIVE,https://www.winsteadspecialdistricts.com/kaufman-county/kaufman-county-fresh-water-supply-district-n,2026,103226587,
Kaufman County Fresh Water Supply District #1-D,Kaufman County,Water Control and Improvement District,ACTIVE,https://www.winsteadspecialdistricts.com/kaufman-county/kaufman-county-fresh-water-supply-district-n,2026,103226580,
Kaufman County Fresh Water Supply District No. 1-E,Kaufman County,Water Control and Improvement District,ACTIVE,https://www.winsteadspecialdistricts.com/kaufman-county/kaufman-county-fresh-water-supply-district-n,2026,103228339,
Kaufman County Fresh Water Supply District No. 1-F,Kaufman County,Water Control and Improvement District,ACTIVE,https://www.winsteadspecialdistricts.com/kaufman-county/kaufman-county-fresh-water-supply-district-n,2026,103228340,
Kaufman County Water Control and Improvement District #1,Kaufman County,Water Control and Improvement District,ACTIVE,https://www.districtdata.org/kaufman-county/kaufman-county-water-control-and-improvement-district-no,2026,103226960,
Kaufman Lakes Water Control and Improvement District,Kaufman County,Water Control and Improvement District,ACTIVE,https://www.winsteadspecialdistricts.com/kaufman-county/kaufman-lakes-water-control-and-improvement-,2026,103228725,
Kelly Lane Water Control and Improvement District #1,Travis County,Water Control and Improvement District,ACTIVE,https://abaustin.sharefile.com/public/share/web-s2a89fc69a6d74b27b9e2aad6fff6a314,2026,103225758,
Kelly Lane Water Control and Improvement District #2,Travis County,Water Control and Improvement District,ACTIVE,https://abaustin.sharefile.com/public/share/web-s9cddc5e3a45145e596eb4f126f67d37e,2026,103225761,
Kendall County WCID No. 3A,Kendall County,Water Control and Improvement District,ACTIVE,https://www.sklawdistrictdata.org,2026,103228059,
Kendall County Water Control And Improvement District No. 2B,Kendall County,Water Control and Improvement District,ACTIVE,https://sklawdistrictdata.org,2026,103228410,
Kendall County Water Control and Improvement District #1,Kendall County,Water Control and Improvement District,ACTIVE,,2026,103227752,
Kendall County Water Control and Improvement District #2,Kendall County,Water Control and Improvement District,ACTIVE,https://sklawdistrictdata.org,2026,103226195,
Kendall County Water Control and Improvement District #2A,Kendall County,Water Control and Improvement District,ACTIVE,https://sklawdistrictdata.org,2026,103226342,
Kendall County Water Control and Improvement District #3,Kendall County,Water Control and Improvement District,INACTIVE,https://sklawdistrictdata.org,2020,103226197,
Kendall County Water Control and Improvement District No. 3B,Kendall County,Water Control and Improvement District,ACTIVE,,2026,103228787,
Kendall County Water Control and Improvement District No. 4,Kendall County,Water Control and Improvement District,ACTIVE,https://sklawdistrictdata.org,2026,103228245,
Kendall County Water Control and Improvement District No. 4A,Kendall County,Water Control and Improvement District,ACTIVE,https://sklawdistrictdata.org,2026,103228246,
LaSalle Water Control and Improvement District #1A,Calhoun County,Water Control and Improvement District,INACTIVE,,2021,103226319,
LaSalle Water Control and Improvement District #1B,Calhoun County,Water Control and Improvement District,INACTIVE,,2020,103226318,
Lake Amanda Water Control and Improvement District #1,Tyler County,Water Control and Improvement District,ACTIVE,https://www.lawcid.org,2026,103227778,
Lake Dunlap Water Control and Improvement District,Guadalupe County,Water Control and Improvement District,ACTIVE,,2026,103228219,
Lake LBJ Water Control and Improvement District #1,Burnet County,Water Control and Improvement District,ACTIVE,,2026,103226574,
Lake McQueeney Water Control and Improvement District No. 1,Guadalupe County,Water Control and Improvement District,ACTIVE,https://www.lakemcqueeneywcid1.com,2026,103228097,
Lakeside Water Control and Improvement District #1,Travis County,Water Control and Improvement District,ACTIVE,https://lakesidewcid1.com,2026,103227244,
Lakeside Water Control and Improvement District #2B,Travis County,Water Control and Improvement District,ACTIVE,https://lakesidewcid2b.com,2026,103227254,
Lakeside Water Control and Improvement District #2C,Travis County,Water Control and Improvement District,ACTIVE,https://lakesidewcid2c.com,2026,103227256,
Lakeside Water Control and Improvement District #2D,Travis County,Water Control and Improvement District,ACTIVE,https://lakesidewcid2d.com,2026,103227262,
Lazy River Improvement District,Montgomery County,Water Control and Improvement District,ACTIVE,https://www.wdmtexas.com/districts-served/lazy-river-id,2026,103227029,
Lazy W Conservation District,Henderson County,Water Control and Improvement District,ACTIVE,,2026,103227919,
Lee-Fayette Counties Cummins Creek Water Control and Improvement District #1,Fayette County,Water Control and Improvement District,ACTIVE,,2026,103226633,
Liberty County Water Control and Improvement District #5,Liberty County,Water Control and Improvement District,ACTIVE,,2026,103227556,
Lytle Lake Water Control and Improvement District,Taylor County,Water Control and Improvement District,ACTIVE,https://www.llwcid.org,2026,103226746,
Matagorda County Water Control and Improvement District #2,Matagorda County,Water Control and Improvement District,ACTIVE,https://sklawdistrictdata.org,2026,103227588,
Maverick County Water Control and Improvement District #1,Maverick County,Water Control and Improvement District,ACTIVE,,2026,103227122,
McLennan County Water Control and Improvement District #2,Mclennan County,Water Control and Improvement District,ACTIVE,https://mcwcid2.myruralwater.com/,2026,103227631,
Meadow Lake Water Control and Improvement District No. 1,Guadalupe County,Water Control and Improvement District,ACTIVE,,2026,103228674,
Menard County Water Control and Improvement District #1,Menard County,Water Control and Improvement District,ACTIVE,,2026,103226920,
Midland County Utility District,Midland County,Water Control and Improvement District,ACTIVE,https://www.mcud.org,2026,103227567,
Montgomery County Drainage District #10,Montgomery County,Water Control and Improvement District,ACTIVE,https://2618compliance.wordpress.com/,2026,103226962,
Montgomery County Water Control and Improvement District #1,Montgomery County,Water Control and Improvement District,ACTIVE,https://www.wcid1tx.org/,2026,103226884,
Moore Farm Water Control and Improvement District #1,Kaufman County,Water Control and Improvement District,ACTIVE,,2026,103227429,
Mustang Ridge Municipal Utility District,Burnet County,Water Control and Improvement District,ACTIVE,https://www.winsteadspecialdistricts.com/burnet-county/cimarron-shoes-water-control-and-improvement-,2026,103228293,
North Fort Worth Water Control and Improvement District #1,Denton County,Water Control and Improvement District,ACTIVE,https://www.winsteadspecialdistricts.com/denton-county/north-fort-worth-water-control-and-improvemen,2026,103226595,
North Montague County Water Supply District,Montague County,Water Control and Improvement District,INACTIVE,,2019,103225837,
NorthPointe Water Control and Improvement District,Harris County,Water Control and Improvement District,ACTIVE,,2026,103226011,
Nueces County Water Control and Improvement District #3,Nueces County,Water Control and Improvement District,ACTIVE,https://nueceswater3.com,2026,103227794,
Oak Point Water Control and Improvement District #1,Denton County,Water Control and Improvement District,ACTIVE,https://www.districtdata.org/denton-county/oak-point-water-control-and-improvement-district-no-1-of-,2026,103226749,
Oak Point Water Control and Improvement District #2,Denton County,Water Control and Improvement District,ACTIVE,https://www.districtdata.org/denton-county/oak-point-water-control-and-improvement-district-no-2-of-,2026,103226750,
Oak Point Water Control and Improvement District #3,Denton County,Water Control and Improvement District,ACTIVE,,2026,103227431,
Oak Point Water Control and Improvement District #4,Denton County,Water Control and Improvement District,ACTIVE,,2026,103227364,
Orange County Water Control and Improvement District #2,Orange County,Water Control and Improvement District,ACTIVE,https://WWW.OCWCID2.COM,2026,103225519,
Palo Pinto County Water Control and Improvement District #1,Palo Pinto County,Water Control and Improvement District,ACTIVE,https://www.winsteadspecialdistricts.com/palo-pinto-county/palo-pinto-county-water-control-and-impro,2026,103226622,
Plum Creek Conservation District,Caldwell County,Water Control and Improvement District,ACTIVE,https://www.pccd.org,2026,103227489,
Plum Creek Conservation District,Caldwell County,Water Control and Improvement District,ACTIVE,https://www.pccd.org,2026,103228185,
Red Bluff Water Power Control District,Reeves County,Water Control and Improvement District,ACTIVE,,2026,103226469,
Refugio County Water Control and Improvement District #1,Refugio County,Water Control and Improvement District,ACTIVE,https://www.refugiowcid1.com,2026,103227764,
Refugio County Water Control and Improvement District #2,Refugio County,Water Control and Improvement District,ACTIVE,,2026,103226949,
Reunion Ranch Water Control and Improvement District,Hays County,Water Control and Improvement District,ACTIVE,https://rrwcid.org,2026,103226692,
Rockwall Water Control and Improvement District #1,Rockwall County,Water Control and Improvement District,ACTIVE,,2025,103227844,
Rockwall Water Control and Improvement District #2,Rockwall County,Water Control and Improvement District,ACTIVE,,2024,103227845,
Rolling V Ranch WCID No. 3,Wise County,Water Control and Improvement District,ACTIVE,https://www.rollingvranchwcid3.com,2026,103228207,
Rolling V Ranch WCID No. 4,Wise County,Water Control and Improvement District,ACTIVE,https://www.rollingvranchwcid4.com,2026,103228212,
Rolling V Ranch Water Control and Improvement District  #1,Wise County,Water Control and Improvement District,ACTIVE,https://www.rollingvranchwcid1.com,2026,103226944,
Rolling V Ranch Water Control and Improvement District #2,Wise County,Water Control and Improvement District,ACTIVE,https://www.rollingvranchwcid2.com,2026,103228021,
Siesta Shores Water Control and Improvement District,Zapata County,Water Control and Improvement District,ACTIVE,,2026,103227469,
Smiley Road Water Control and Improvement District #1,Denton County,Water Control and Improvement District,ACTIVE,https://www.winsteadspecialdistricts.com/denton-county/smiley-road-water-control-and-improvement-dis,2026,103226943,
Smiley Road Water Control and Improvement District #2,Denton County,Water Control and Improvement District,ACTIVE,https://www.winsteadspecialdistricts.com/denton-county/smiley-road-water-control-and-improvement-dis,2026,103226980,
South Buda Water Control and Improvement District #1,Hays County,Water Control and Improvement District,ACTIVE,https://sbwcid1.org,2026,103226820,
South Central Calhoun County Water Control and Improvement District #1,Calhoun County,Water Control and Improvement District,ACTIVE,https://scccwcid1.com,2026,103227597,
Southmost Regional Water Authority,Cameron County,Water Control and Improvement District,ACTIVE,,2026,103226752,
Stonewall Water Control and Improvement District,Gillespie County,Water Control and Improvement District,ACTIVE,https://stonewallwcidtx.gov,2026,103226220,
Talley Ranch Water Control and Improvement District #1,Denton County,Water Control and Improvement District,ACTIVE,,2026,103227435,
Tarrant Regional Water District,Tarrant County,Water Control and Improvement District,ACTIVE,https://www.trwd.com,2026,103226467,
Tattor Road Municipal District,Harris County,Water Control and Improvement District,ACTIVE,https://www.districtdirectory.org/harris-county/tattor-road-municipal-district,2026,103226973,
Tehuacana Creek Water Control and Improvement District,Mclennan County,Water Control and Improvement District,ACTIVE,https://tehuacanacreekwaterimprovementdistrict.org,2026,103226998,
Terrell County Water Control and Improvement District #1,Terrell County,Water Control and Improvement District,ACTIVE,,2026,103227547,
Travis County Water Control and Improvement District #10,Travis County,Water Control and Improvement District,ACTIVE,https://www.waterdistrict10.org,2026,103225580,
Travis County Water Control and Improvement District #17,Travis County,Water Control and Improvement District,ACTIVE,http://www.wcid17.org/,2026,103227269,
Travis County Water Control and Improvement District #20,Travis County,Water Control and Improvement District,ACTIVE,https://abaustin.sharefile.com/share/view/sd538f44a2d14aa28/fo8fde04-1988-4943-a06d-a3d95ba2527c,2026,103225664,
Travis County Water Control and Improvement District - Point Venture,Travis County,Water Control and Improvement District,ACTIVE,https://tcwcid-pv.org/,2026,103225752,
Upper Brushy Creek Water Control and Improvement District,Williamson County,Water Control and Improvement District,ACTIVE,https://www.ubcdams.org,2026,103225814,
Upper Jasper County Water Authority,Jasper County,Water Control and Improvement District,ACTIVE,https://www.ujcwa.com,2026,103227768,
Victoria County Water and Control Improvement District #1,Victoria County,Water Control and Improvement District,ACTIVE,,2026,103227520,
Waller County Water Control and Improvement District #2,Waller County,Water Control and Improvement District,ACTIVE,,2026,103227297,
Waller County Water Control and Improvement District No. 3,Waller County,Water Control and Improvement District,ACTIVE,,2026,103228544,
West Central Texas Municipal Water District,Taylor County,Water Control and Improvement District,ACTIVE,https://wctmwd.org,2026,103228033,
White Bluff Water Control and Improvement District,Harris County,Water Control and Improvement District,ACTIVE,,2026,103226064,
Zapata Water Control and Improvement District,Zapata County,Water Control and Improvement District,ACTIVE,https://zcwcid.org,2026,103227467,
Zavala-Dimmit Counties Improvement #1,Zavala County,Water Control and Improvement District,ACTIVE,,2026,103226505,
