tea_cdn,isd_name,county,category,reason,seated,board_size,seat_structure,jurisdiction_id,website,board_page_result_url,board_page_result_title,board_page_domain_match,Seat mapping
130902,Comfort ISD Board of Trustees,Kendall County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:comfort/school,http://www.comfort.txed.net,https://comfortisd.net/33402_3,Trustee Profiles,No,
178904,Corpus Christi ISD Board of Trustees,Nueces County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=3, smd_seats=4 (districts [1, 2, 3, 4]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:corpus-christi/school,http://www.ccisd.us,https://www.ccisd.us/page/board-meetings,Board Meetings,Yes,
52901,Crane ISD Board of Trustees,Crane County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:crane/school,http://www.craneisd.com,https://www.craneisd.com/page/school-board,School Board,Yes,https://www.craneisd.com/page/school-board
113901,Crockett ISD Board of Trustees,Houston County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:crockett/school,http://www.crockettisd.net,https://www.crockettisd.net/page/school-board,Crockett ISD School Board,Yes,
101906,Crosby ISD Board of Trustees,Harris County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=1, smd_seats=6 (districts [1, 2, 3, 4, 5, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:crosby/school,http://www.crosbyisd.org,https://www.crosbyisd.org/,Crosby Independent School District: Home,Yes,
54901,Crosbyton CISD Board of Trustees,Crosby County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:crosbyton/school,http://www.crosbyton.k12.tx.us,https://www.crosbyton.k12.tx.us/,Crosbyton CISD,Yes,
62901,Cuero ISD Board of Trustees,Dewitt County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:cuero/school,http://www.cueroisd.org/,https://www.cueroisd.org/district-36/board-of-trustees,Board of Trustees,Yes,
163902,D'Hanis ISD Board of Trustees,Medina County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:d-hanis/school,http://www.dhanisisd.net/,https://www.dhanisisd.net/district-information,D'Hanis Pride - District Information,Yes,
172902,Daingerfield-Lone Star ISD Board of Trustees,Morris County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:daingerfield-lone-star/school,http://dlsisd.org,https://www.dlsisd.org/page/school-board,School Board,Yes,
57905,Dallas ISD Board of Trustees,Dallas County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=9, at_large=0, smd_seats=9 (districts [1, 2, 3, 4, 5, 6, 7, 8, 9]) -- directory has no per-person seat number to map named trustees to numbered posts",0,9,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:dallas/school,http://www.dallasisd.org,https://www.dallasisd.org/board-of-trustees/board-members,Board Members - Dallas Independent School ...,Yes,
19901,Dekalb ISD Board of Trustees,Bowie County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:dekalb/school,http://www.dekalbisd.net,https://www.dekalbisd.net/41540_3,Board Members,Yes,
227910,Del Valle ISD Board of Trustees,Travis County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=9, at_large=0, smd_seats=9 (districts [1, 2, 3, 4, 5, 6, 7, 8, 9]) -- directory has no per-person seat number to map named trustees to numbered posts",0,9,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:del-valle/school,http://www.dvisd.net,https://www.dvisd.net/about-us/board-of-trustees,Board of Trustees,Yes,
91903,Denison ISD Board of Trustees,Grayson County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:denison/school,http://www.denisonisd.net/,https://www.denisonisd.net/board-of-trustees,Board of Trustees - Denison Independent School ...,Yes,
163901,Devine ISD Board of Trustees,Medina County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:devine/school,http://www.devineisd.org,https://devineisd.org/school-board/index,School Board,Yes,https://www.devineisd.org/school-board/may-3-2025-election
84901,Dickinson ISD Board of Trustees,Galveston County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:dickinson/school,http://www.dickinsonisd.org,https://www.dickinsonisd.org/page/board.home,Board of Trustees,Yes,
35901,Dimmitt ISD Board of Trustees,Castro County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:dimmitt/school,http://www.dimmittisd.net,https://www.dimmittisd.net/,Dimmitt ISD,Yes,
178905,Driscoll ISD Board of Trustees,Nueces County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:driscoll/school,http://www.driscollisd.us,https://www.driscollisd.us/district1/school-board,School Board,Yes,
15911,East Central ISD Board of Trustees,Bexar County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:east-central/school,http://www.ecisd.net,https://www.ecisd.net/board/board-of-trustees,Board of Trustees: Members and Bios,Yes,
68901,Ector County ISD Board of Trustees,Ector County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:ector-county/school,http://www.ectorcountyisd.org,https://www.ectorcountyisd.org/our-district/board-of-trustees/members,Members,Yes,
120901,Edna ISD Board of Trustees,Jackson County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:edna/school,http://www.ednaisd.org,https://www.ednaisd.org/page/school-board-members,School Board Members,Yes,
71902,El Paso ISD Board of Trustees,El Paso County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:el-paso/school,http://www.episd.org,https://www.episd.org/page/about-the-board,El Paso ISD About the Board,Yes,
11902,Elgin ISD Board of Trustees,Bastrop County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:elgin/school,http://www.elginisd.net,https://www.elginisd.net/departments/school-board/board-of-trustees,Board of Trustees - Elgin Independent School ...,Yes,
220904,Everman ISD Board of Trustees,Tarrant County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:everman/school,http://www.eisd.org,https://www.eisd.org/page/board-of-trustees,Board of Trustees,Yes,
247901,Floresville ISD Board of Trustees,Wilson County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:floresville/school,http://www.fisd.us,https://www.fisd.us/page/fisd-board-members,Floresville ISD Board of Trustees,Yes,
77901,Floydada Collegiate ISD Board of Trustees,Floyd County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:floydada-collegiate/school,http://www.floydadaisd.esc17.net,https://www.floydadaisd.esc17.net/o/district/page/board-of-trustees-term-information,Board of Trustees Term Information | Floydada Collegiate ISD,Yes,
186902,Fort Stockton ISD Board of Trustees,Pecos County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:fort-stockton/school,http://www.fsisd.net,https://www.fsisd.net/about-fsisd/school-board/school-board-members,School Board Members - Fort Stockton Independent ...,Yes,
220905,Fort Worth ISD Board of Trustees,Tarrant County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=9, at_large=0, smd_seats=9 (districts [1, 2, 3, 4, 5, 6, 7, 8, 9]) -- directory has no per-person seat number to map named trustees to numbered posts",0,9,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:fort-worth/school,http://www.fwisd.org,https://www.fwisd.org/board/trustees,Fort Worth ISD Board of Trustees,Yes,
122901,Ft Davis ISD Board of Trustees,Jeff Davis County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=3, smd_seats=4 (districts [1, 2, 3, 4]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:ft-davis/school,http://www.fdisd.com,https://www.fdisd.com/page/board-of-members,Board Members,Yes,
84902,Galveston ISD Board of Trustees,Galveston County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:galveston/school,http://www.gisd.org,https://www.gisd.org/board-of-trustees-home,Galveston ISD - Board of Trustees Home,Yes,
149901,George West ISD Board of Trustees,Live Oak County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:george-west/school,http://www.gwisd.us,https://www.gwisd.us/apps/pages/index.jsp?uREC_ID=576260&type=d&termREC_ID=&pREC_ID=1110563,Board Elections - School Board,Yes,
88902,Goliad ISD Board of Trustees,Goliad County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:goliad/school,http://www.goliadisd.org/,https://www.goliadisd.org/school-board,Goliad ISD - School Board,Yes,
89901,Gonzales ISD Board of Trustees,Gonzales County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:gonzales/school,http://www.gonzalesisd.net,https://www.gonzalesisd.net/about-gisd/school-board,School Board,Yes,
101911,Goose Creek CISD Board of Trustees,Harris County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:goose-creek/school,http://www.gccisd.net,https://www.gccisd.net/board-of-trustees,Board of Trustees,Yes,
156905,Grady ISD Board of Trustees,Martin County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:grady/school,http://gradyisd.org,https://www.gradyisd.org/page/board-of-trustees,Board of Trustees,Yes,
57910,Grand Prairie ISD Board of Trustees,Dallas County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 4, 5, 6]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:grand-prairie/school,http://www.gpisd.org/,https://www.gpisd.org/board,Board of Trustees,Yes,
116905,Greenville ISD Board of Trustees,Hunt County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:greenville/school,http://www.greenvilleisd.com,https://www.greenvilleisd.com/page/board-of-trustees,Greenville ISD Board of Trustees,Yes,
147902,Groesbeck ISD Board of Trustees,Limestone County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:groesbeck/school,http://groesbeckisdtx.sites.thrillshare.com/,https://groesbeckisdtx.sites.thrillshare.com/o/ewi,https://groesbeckisdtx.sites.thrillshare.com/o/ewi,Yes,
15904,Harlandale ISD Board of Trustees,Bexar County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:harlandale/school,http://www.harlandale.net/,https://www.harlandale.net/page/school-board,School Board | Harlandale Independent School District,Yes,
104901,Haskell CISD Board of Trustees,Haskell County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:haskell/school,http://www.haskell.esc14.net/,https://www.haskell.esc14.net/,Haskell Consolidated Independent School District,Yes,
105906,Hays CISD Board of Trustees,Hays County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:hays/school,http://www.hayscisd.net,https://www.hayscisd.net/page/board-members,Board Members | Hays Consolidated Independent School District,Yes,
201902,Henderson ISD Board of Trustees,Rusk County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:henderson/school,http://www.hendersonisd.org,https://www.hendersonisd.org/page/meet-our-board,MEET OUR BOARD - Henderson ISD,Yes,
59901,Hereford ISD Board of Trustees,Deaf Smith County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:hereford/school,http://www.herefordisd.net,https://www.herefordisd.net/page/board-of-trustees,Board of Trustees - Hereford ISD,Yes,
109904,Hillsboro ISD Board of Trustees,Hill County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:hillsboro/school,http://www.hillsboroisd.org,https://www.hillsboroisd.org/,Hillsboro ISD: Home,Yes,
84908,Hitchcock ISD Board of Trustees,Galveston County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:hitchcock/school,http://www.hitchcockisd.org,https://www.hitchcockisd.org/main-district/board-of-trustees,Board of Trustees - Hitchcock ISD,Yes,
163904,Hondo ISD Board of Trustees,Medina County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=2, smd_seats=5 (districts [1, 2, 3, 4, 5]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:hondo/school,http://www.hondoisd.net,https://www.hondoisd.net/apps/pages/index.jsp?uREC_ID=3761105&type=d,School Board - Hondo ISD,Yes,
246907,Jarrell ISD Board of Trustees,Williamson County,smd_or_hybrid_no_seat_mapping (pure_smd),"board_size=7, at_large=0, smd_seats=7 (districts [1, 2, 3, 4, 5, 6, 7]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Single-Member District,ocd-jurisdiction/country:us/state:tx/school_district:jarrell/school,http://www.jarrellisd.org,https://www.jarrellisd.org/about-us/about-us/board-of-trustees/board-members,Board Members - Jarrell Independent School District,Yes,
124901,Jim Hogg County ISD Board of Trustees,Jim Hogg County,smd_or_hybrid_no_seat_mapping (hybrid),"board_size=7, at_large=3, smd_seats=4 (districts [1, 2, 3, 4]) -- directory has no per-person seat number to map named trustees to numbered posts",0,7,Hybrid (at-large + SMD),ocd-jurisdiction/country:us/state:tx/school_district:jim-hogg-county/school,http://www.jhcisdpk12.org,https://www.jhcisdpk12.org/,Jim Hogg County Independent School District: Home,Yes,
