City,Website,Status,MML_Slug,Phone,Population,NextElection,Officials
Baldwyn,http://www.baldwynliving.com/,OK,Baldwyn,(662) 365-2383,"3,100",06/2025,Mayor: Roslynn Clark | Alderman At-Large: Jason McKay | Alderwoman: Angeleque Beene | Alderwoman: Tonya Billips | Alderman: William Agnew | Alderman: Stacey Robinson | City Clerk: Mariea Burress
Bassfield,http://www.bassfieldms.com/,OK,Bassfield,(601) 943-5424,200,06/2029,Mayor: Angela Ladner | Alderwoman: Lisa  Blount | Alderman: William Daley | Alderman: William Hendry | Alderman: Ken Roberts | Alderman: Johnny Roberts | Alderman: James Speck | City Clerk: Kimberly Mason
Batesville,https://batesville.ms/,OK,Batesville,(662) 563-4576,"7,523",06/2029,Mayor: Hal Ferrell | Alderman: Jimmy McCloud | Alderman: James Whitaker | Alderman: Carl Flowers | Alderman: Stan Harrison | Alderman: Dennis Land | City Clerk: Shonnah Weaver
Bay Springs,http://www.cityofbaysprings.com/,OK,Bay-Springs,(601) 764-4112,1671,06/2029,Mayor: Donald Brown | Alderman: Steve Breland | Alderman: Mike Lucas | Alderman: James Knotts | Alderman: Ronald Keyes | Alderman: Bob Cook | City Clerk: Vickie Cargile
Bay St. Louis,http://www.baystlouis-ms.gov/,OK,Bay-St-Louis,(228) 466-8951,"9,500",06/2029,Mayor: Mike Favre | Councilman At-Large: Larry Smith | Councilman: Jordan Bradford | Councilwoman: Nancy Moynan | Councilwoman: Phalba Holmes | Councilman: Kyle Lewis | Councilwoman: Linda Davis | Councilman: Josh DeSalvo | City Clerk: Michael Reso
Beaumont,https://www.beaumont.ms.gov/,OK,Beaumont,(601) 784-3352,651,06/2029,Mayor: Jamie Chambless | Alderman: Bobby Ray Bolton | Alderman: Russell Carnahan | Alderman: Francis Mathis | Alderwoman: Minnie  Mizell | Alderman: Patrick  Thomas | City Clerk: Ashley Williams
Beauregard,,"PAGE FOUND, NO WEB LINK",Beauregard,(601) 643-1255,289,06/2029,Mayor: Linda Harris | Alderman: Johnny Butler | Alderwoman: Jesse  Larry | Alderwoman: Natalie Miller | Alderman: Alfred Motley | Alderman: Ira Motley | Alderwoman: Barbara Motley
Belmont,https://cityofbelmontms.com/,OK,Belmont,(662) 454-3381,2021,06/2029,Mayor: Brandon Pharr | Alderwoman: Shawna Collier | Alderman: Kenny Dulaney | Alderwoman: Sonya Harris | Alderman: Steve Ratliff | Alderman: Mason Smith | City Clerk: Carla Sartin
Belzoni,http://www.cityofbelzoni.com,OK,Belzoni,(662) 247-1343,1938,06/2025,Mayor: Eula Davis | Alderman: Charles Edwards | Alderman: Derrick Hooker | Alderwoman: Shonda Hooker | Alderman: W. T. McCormick | Alderman: Michael Starks | City Clerk: Delores Harris
Benoit,,"PAGE FOUND, NO WEB LINK",Benoit,(662) 742-3751,380,06/2029,Mayor: Linda Carter | Alderwoman: Sarah Lee Howard | Alderwoman: Sarah Nelson Howard | Alderman: Chadwick Kimble | Alderwoman: Shirley Perry Bryant | Alderwoman: Myra Thomas
Bentonia,https://townofbentonia.org/,OK,Bentonia,(662) 755-2281,319,06/2029,Mayor: Kim Puckett- Martin | Alderwoman: Tamara Boatner | Alderman: Robert Demus | Alderman: Colby  Parks | Alderman: Steve Pigg | Alderman: Gregory Shaffer | City Clerk: Kim Tyer
Beulah,,"PAGE FOUND, NO WEB LINK",Beulah,(662) 759-3758,320,06/2029,Mayor: Anthony Moore | Alderwoman: Tyronica Johnson | Alderwoman: Patricia Moore | Alderman: Carl Robinson | Alderwoman: Francis Turner | Alderman: Jackie  Winston | City Clerk: Barbara Turner
Big Creek,,"PAGE FOUND, NO WEB LINK",Big-Creek,(662) 414-9390,133,06/2029,Mayor: Dwight DeVall | Alderman: Thomas Clanton | Alderman: Herman Clanton | Alderwoman: Wanda Harrison | Alderwoman: Donna Wall | Alderman: Jim Warner | City Clerk: Emily  Eubanks
Biloxi,http://www.biloxi.ms.us/,OK,Biloxi,(228) 435-6254,"49,442",06/2029,Mayor: Andrew  Gilich | Council Member: Wayne Gray | Council Member: Anthony Marshall | Council Member: Mike Nail | Council Member: Jamie Creel | Council Member: Paul Tisdale | Council Member: Kenny Glavan | Council Member: David Shoemaker | City Clerk: Stacy Thacker
Blue Mountain,,"PAGE FOUND, NO WEB LINK",Blue-Mountain,(662) 685-4721,948,06/2029,Mayor: Doug Norton | Alderman: Jerrold Akins | Alderman: Curt Henry | Alderman: Stan Irwin | Alderman At-Large: Gene Lansdell | Alderman: Jeff Pipkin | City Clerk/Court Clerk: Amanda Chism
Blue Springs,http://bluespringsms.com/,OK,Blue-Springs,(662) 538-9842,428,06/2029,Mayor: Rita Gentry | Alderman: Dorenda Gentry | Alderwoman: Leanna Hollis | Alderwoman: Rhonda Horton | Alderman: Jimmy Hutcheson | Alderman: Angie McDonald | City Clerk: Jan Musgrove
Bolton,,"PAGE FOUND, NO WEB LINK",Bolton,(601) 866-2221,500,06/2029,Mayor: Alisa Butler-Kidd | Alderman: Calvin Thomas | Alderman: Brady Holder | Alderwoman: Shirley Mason | Alderwoman: Vera Powell | City Clerk: Letitia Mason-Henry
Booneville,https://www.visitbooneville.com/,OK,Booneville,(662) 728-5601,9126,06/2029,Mayor: Lori  Tucker | Alderwoman: LaVaile Shields | Alderwoman: Tara Lauderdale | Alderman: Jeff Williams | Alderman: Jimmy Hicks | Alderwoman: Carolyn Miller | City Clerk: Sharon Ramey
Boyle,,"PAGE FOUND, NO WEB LINK",Boyle,(622) 843-4661,600,06/2029,"Mayor: Thomas Taylor | Alderwoman: Heather Kimbell | Alderman: Jeff Peeples | Alderman: George Evans, III | Alderwoman: Brenda Jackson Flakes | Alderwoman: Azalean Rogers | City Clerk/Court Clerk: Alice Smith"
Brandon,http://www.brandonms.org,OK,Brandon,(601) 825-5021,"26,086",06/2029,Mayor: Butch Lee | Alderwoman: Sharon Womack | Alderman: Jarrad Craine | Alderman: Cris Vinson | Alderman: Harry Williams | Alderman: Lucian Coker | Alderman: Jereme King | Alderman: David Farris | City Clerk: Mary Ann Hess
Braxton,https://townofbraxton.com/,OK,Braxton,(601) 847-1879,187,06/2029,Mayor: Michael Arinder | Alderman: Travis Broome | Alderwoman: Samantha Easterling | Alderman At-Large: James Graham | Alderwoman: Kristy McMillan | Alderman At-Large: Tate  Yelverton | City Clerk: Pam Coward
Brookhaven,http://brookhavenms.com/wp/,OK,Brookhaven,(601) 833-2362,"11,674",06/2029,Mayor: Larry Jointer | Alderman: Ronald Hines | Alderman: James  Magee | Alderman: Shannon Moore | Alderwoman: Jennifer Howard-Tate | Alderman: Jeff  Henning | Alderman: Charles  Grice | Alderman: Andre` Spiller | City Clerk: Mavis Stewart
Brooksville,http://www.brooksvillems.org/,OK,Brooksville,(662) 738-5531,915,01/2025,"Mayor: David Boswell | Alderwoman: Annie ""Angel"" Anthony-Brooks | Alderman: Robin Bankhead | Alderwoman: Susie  Brooks | Alderman: William Mitchell | Alderman: Derek Williams | City Clerk/Court Clerk: Destiny Gray"
Bruce,http://www.brucechamber.com/history-of-the-city-of-bruce/,OK,Bruce,(662) 983-2453,"1,707",06/2029,Mayor: Jimmy Hubbard | Alderman: Chris Harrell | Alderman: Percy Evans | Alderwoman: Sandra Pope | Alderman: Jessey Higdon | Alderwoman: Ellen Shaw | City Clerk: Rita Talford
Bude,,"PAGE FOUND, NO WEB LINK",Bude,(601) 384-2600,"1,012",06/2029,Mayor: Elvia Brown | Alderwoman: Anna McCormick | Alderwoman: Marla Murray | Alderwoman: Maggie Bethley | Alderwoman: Jillian Dunmore | Alderman: Edward Middleton | City Clerk: Ellisha Ford
Burnsville,http://www.burnsvillems.com/,OK,Burnsville,(662) 427-9526,864,06/2029,Mayor: Lori Lawson | Alderman: Jason Blakney | Alderwoman: Niesha Carpenter | Alderman: Billy  Hamm | Alderman: Lance Heavener | Alderwoman: Denise Timbes | City Clerk: Tracy Roaten
Byhalia,http://www.byhalia-ms.com/,OK,Byhalia,(662) 838-2135,"1,339",06/2029,Mayor: Don Hollingsworth | Alderwoman: Donna Horne | Alderman: Ben Moore | Alderman: William Rose | Alderman: Kevin Wood | City Clerk: Jennifer Moody
Byram,http://byram-ms.us/,OK,Byram,(601) 372-7746,12000,06/2025,Mayor: Richard White | Alderman: Robert Amos | Alderman: Chris  Carson | Alderwoman: Roschelle Gibson | Alderwoman: Roshunda Harris-Allen | Alderwoman: Diandra Hosey | Alderwoman: Erma Johnson | Alderwoman: Teresa Mack | City Clerk: Julia Kraft
Caledonia,https://caledoniams.net/,OK,Caledonia,(662) 356-4117,"1,135",06/2029,Mayor: Betty Darnell | Alderman: Matt Chisolm | Alderman: Jason Chrest | Alderwoman: Jacqueline Furnari | Alderman: Robert  Jacobs | Alderwoman: Tammy McCool | City Clerk: Donna  Glasgow
Calhoun City,,"PAGE FOUND, NO WEB LINK",Calhoun-City,(662) 628-8345,1997,06/2029,Mayor: Marshall Coleman | Alderman: Anthony Herrod | Alderman: Fitzgerald Harper | Alderman: Larry Bratton | Alderman: John Suber | Alderwoman: Stephanie  Lucius | City Clerk: Nellie Pratt | City Clerk: LaSherica  Shaw
Canton,http://www.cityofcantonms.com/,OK,Canton,(601) 859-4331,13000,06/2029,Mayor: Timothy Taylor | Alderwoman: Cynthia  Allen | Alderwoman: Janice Diamond | Alderwoman: Monica Gilkey | Alderman: Lafayette Wales | Alderwoman: Shannon Whitehead | Alderman: Rodriquez Brown | Alderman: Les Penn | City Clerk: Chuconna Anderson
Carrollton,http://visitcarrolltonms.com/,OK,Carrollton,(662) 237-4600,216,06/2029,Mayor: Pamela Lee | Alderman At-Large: Cilinton Gee | Alderman: Thomas Goodman | Alderman: Warren Long | Alderman: Bo Milton | Alderwoman: Daphne Williams | City Clerk: C. J. Coleman
Carthage,http://www.cityofcarthage.org/,OK,Carthage,(601) 267-8322,"4,901",06/2029,Mayor: Laura (Laurie) Henderson | Alderman: Britt Barnes | Alderwoman: Robin Burgess | Alderman: Josh Stokes | Alderman: Marcus Williams | City Clerk: Penny Spears
Cary,https://www.citydirectory.us/town-cary-mississippi.html,OK,Cary,(662) 873-6679,241,06/2029,Mayor: Sandra Sidney | Alderman: William Fleeman | Alderwoman: Sarah Fleeman | Alderwoman: Lisa Griffin-Stamps | Alderman: Timothy Matthews | Alderwoman: Linda McGee | City Clerk: Verna Gibbs
Centreville,,"PAGE FOUND, NO WEB LINK",Centreville,(601) 645-5218,"1,258",06/2029,Mayor: Demetria Allen-Hudson | Alderwoman: Iyomia Montgomery | Alderwoman: Michelle Singleton | Alderman: Amaud Stewart | Alderman: David Walker | Alderman: Dennis Wilson | City Clerk: Kimberly Montgomery
Charleston,,"PAGE FOUND, NO WEB LINK",Charleston,(662) 647-5841,"1,884",06/2025,Mayor: Sedrick Smith | Alderwoman: Cassandra Harris Patterson | Alderman: Michael Webster | Commissioner: Gyrone Kenniel | Commissioner: Lloyd  Smith | Alderwoman: Tawanda Shannon | City Clerk: Vanisha Powell
Chunky,,"PAGE FOUND, NO WEB LINK",Chunky,(601) 655-8376,315,06/2029,Mayor: Eric Gilbert | Alderman: Kay Clark | Alderwoman: Jax Clark | Alderman: Jeremy Luke | Alderman: Joshua Maxwell | Alderwoman: Regina Steele | City Clerk: Joyce Reynolds
Clarksdale,,"PAGE FOUND, NO WEB LINK",Clarksdale,(662) 621-8100,"14,903",06/2029,Commissioner: Linda Downing | Commissioner: Eddie Earl | Commissioner: Ray Syke | Commissioner: Willie Turner | City Clerk: Laketha Covington
Cleveland,http://www.cityofclevelandms.com/,OK,Cleveland,(662) 846-1471,"11,199",06/2029,Mayor: Paul Janoush | Alderman: Brian Bishop | Alderman At-Large: Gary Gainspoletti | Alderwoman: Marcia Houser | Alderwoman: Zinnia Howze-Wince | Alderman: Robert Sanders | Alderman: Danny Abraham | Alderman: Theodore Campbell | City Clerk: Michelle Arbuckle
Clinton,https://www.clintonms.org/,OK,Clinton,(601) 924-5474,"28,100",06/2029,Mayor: William Purdie | Alderman At-Large: Robert  Chapman | Alderwoman: Karen Godfrey | Alderwoman: TJ McSparrin | Alderwoman: Amanda Mills Jones | Alderman: Chip Wilbanks | Alderwoman: Beverly Oliver | Alderman: James Lott | City Clerk: Jimmy Baldree
Coahoma,,"PAGE FOUND, NO WEB LINK",Coahoma,(662) 337-2964,229,06/2029,Mayor: W.L. Youngblood | Alderman: Roy Gardner | Alderman: Curtis Weeks | City Clerk: Felicia Elmore
Coffeeville,,"PAGE FOUND, NO WEB LINK",Coffeeville,(662) 675-2642,748,06/2029,Mayor: Brad Ayers | Alderman: Robert Brewer | Alderman: Michael Cook | Alderwoman: Sonya  Murray | Alderwoman: Kimitria Smith | Alderwoman: Rhonda Spearman | City Clerk: Rosaline Torrance
Coldwater,https://www.coldwatermississippi.net/,OK,Coldwater,(662) 622-7241,"1,381",06/2029,Mayor: Glendon Billingsley | Alderman: Patrick Carr | Alderwoman: Paulette Davis | Alderman: Levon Hayes | Alderwoman At-Large: Regina Kimmons | Alderman: Keith Mack | City Clerk: Victoria Jones
Collins,http://www.cityofcollins.com,OK,Collins,(601) 765-4491,"2,342",06/2029,Mayor: Hope Magee Jones | Alderman: Johnathon Anderson | Alderman: Charles Pipkins | Alderman: Lester Magee | Alderman: Robert Thompson | Alderwoman: Sally Buffington | City Clerk: Suzette Davis
Columbia,,"PAGE FOUND, NO WEB LINK",Columbia,(601) 736-8201,5727,06/2029,Mayor: Justin McKenzie | Alderwoman: Andrea Porter | Alderman: Wendell Hammond | Alderman: Jason Stringer | Alderwoman: Anna Evans | Alderman: Michael Smith | City Clerk: Maria Temples
Columbus,http://www.thecityofcolumbusms.org/,OK,Columbus,(662) 328-7021,23450,06/2029,Mayor: Stephen Jones | Councilman: Russell Greene | Councilwoman: Lavonne Harris | Councilman: Gregory Jefferson | Councilman: Roderick Smith | Councilman: Jason Spears | Councilwoman: Ethel  Taylor-Stewart | City Clerk: James Brigham
Como,,"PAGE FOUND, NO WEB LINK",Como,(662) 526-9647,"1,118",06/2025,Mayor: Wesley Ehrhardt | Alderman: Melvin Crockett | Alderman: James Jones | Alderwoman: Tonia Heard | Alderwoman: Ruby Higgenbottom | Alderwoman: Teresa Dishmon | City Clerk: Tammy Campbell
Corinth,,"PAGE FOUND, NO WEB LINK",Corinth,(662) 286-6644,"14,622",06/2025,"Mayor: Ralph Dance | Alderman: Joshua Bryant | Alderman: Johnny Butler | Alderman: David Curry | Alderman: Steve Hill | Alderman: Ben Albarracin | Alderman: Adrian ""Chip"" Wood | City Clerk: Brandy Smith"
Courtland,,"PAGE FOUND, NO WEB LINK",Courtland,(662) 654-0491,459,06/2029,Mayor: Deborah Aven | Alderman: Gerald Aven | Alderman: Charles Baglan | Alderman: Mary Baglan | Alderwoman: Robbie Haley | Alderwoman: Alicia Smith | City Clerk: Carolyn Roberts
Crawford,,"PAGE FOUND, NO WEB LINK",Crawford,(662) 272-5164,613,06/2029,Mayor: Joyce Lowery | Alderman: Walter Bridges | Alderwoman: Sheila Gray | Alderwoman: Latonya Malone | Alderwoman: Tameka Rice | Alderman: Fred Tolon | City Clerk: Beverly Hairston
Crenshaw,,"PAGE FOUND, NO WEB LINK",Crenshaw,(662) 382-5234,613,06/2029,Mayor: Marco Goings | Alderwoman: Patricia Dodson | Alderwoman: Alicia Thornton | Alderwoman: Cathy Bolen | Alderwoman: Shirley Morgan | Alderwoman: Crystal Evans | City Clerk: Cassie Massey
Crosby,,"PAGE FOUND, NO WEB LINK",Crosby,(601) 639-4516,242,06/2025,Mayor: William Hall | Alderman: Malcolm Anderson | Alderwoman: Terrica Bates | Alderman: Joseph Hall | Alderman: Stephanie Pinder | Alderwoman: Susan Slagle | City Clerk: Mary Johnson
Crowder,,"PAGE FOUND, NO WEB LINK",Crowder,(662) 326-8822,573,06/2025,Mayor: Jimmie Smith | Alderman: Brandon Anderson | Alderman: Russell Cox | Alderwoman: Peggy Griffin | Alderwoman: Ceretha Henderson | Alderwoman: Daphne Washington | City Clerk: Stephanie Armstead
Cruger,,"PAGE FOUND, NO WEB LINK",Cruger,(662) 455-5155,268,06/2029,Mayor: Arrica Weatherall | Alderman: Johnetta Dean | Alderman: Quentin Delaney | Alderman: Katherine Granderson | Alderman: Caroline Harris | City Clerk: Alice Randle
Crystal Springs,https://cityofcrystalsprings.com/,OK,Crystal-Springs,(601) 892-1210,4082,06/2029,"Mayor: Charles  Singleton | Alderman: Warren Thornton | Alderman: Ray Brown, Jr. | Alderman: Demarrio Brown | Alderman: Darren Powell | Alderman: Richie Richardson | City Clerk: Kimberly Vaughn"
D'Iberville,http://www.diberville.ms.us,OK,DIberville,(228) 392-7966,"13,309",06/2029,Mayor: Rusty Quave | Councilman At-Large: Joey Bosarge | Councilman: Gerald Burdine | Councilman: Randall Pelous | Councilwoman: Carrie Taranto-Chipley | Councilman: Craig Diaz | City Manager: Bobby Weaver | City Clerk: Jodi Weise
D'Lo,,"PAGE FOUND, NO WEB LINK",DLo,(601) 847-1721,373,06/2029,Mayor: John Henry Berry | Alderwoman At-Large: James Morehead | Alderwoman: Pamela Smith | Alderman: Terry Hartwig | Alderwoman: Ruth Griffin | Alderman: Danny Bankston | City Clerk: Sue Cates
De Kalb,,"PAGE FOUND, NO WEB LINK",DeKalb,(601) 743-2870,989,06/2029,Mayor: Clark Adams | Alderwoman: Bessie Gale | Alderman: Mamie Alexander | Alderman: Tracy Naylor | Alderwoman: Mary Donald | Alderman: Dallas Keith Barnes | City Clerk/Court Clerk: Brenda Nelson
Decatur,http://www.decaturms.org/index.php,OK,Decatur,(601) 635-2761,"1,945",06/2029,Mayor: Lea Ann Rushing | Alderwoman: Kay Chambers | Alderman: William  Johnston | Alderman: Luke Little | Alderman: Michael Harris | Alderwoman: Lynn Hayes | City Clerk: Chloe Sullivan
Derma,,"PAGE FOUND, NO WEB LINK",Derma,(662) 628-6635,957,06/2029,Mayor: David Martin | Alderwoman: Salena Bailey | Alderwoman: Andrea Corbitt | Alderwoman: Aretha Herrod | Alderwoman: Sherrie Powell | Alderwoman: Linda Ramage
Diamondhead,,"PAGE FOUND, NO WEB LINK",Diamondhead,(228) 222-4626,9600,06/2029,Mayor: Anna Liese | Councilman: Gerard Maher | Councilman: Shane Finley | Councilman: Ricky Sheppard | Councilwoman: Jessie Harwood | Councilman: Austin Clark | City Clerk: Jeannie Klein | City Manager: Jon McCraw
Doddsville,,"PAGE FOUND, NO WEB LINK",Doddsville,(662) 756-2700,69,06/2025,Mayor: Torey Bell | Alderwoman: Hazel Barney | Alderman: Simeon Bell | Alderwoman: Deshondra Brown | Alderman: Roy Brown | Alderwoman: Shanika Brown- Ware | City Clerk: Christie Womack
Drew,,"PAGE FOUND, NO WEB LINK",Drew,(662) 745-8556,"1,852",06/2025,Mayor: Melanie  Townsend-Blackmon | Alderwoman: Tierra Fountain | Alderwoman: Jennie Lewis | Alderman: Oliver Washington | Alderman: Jerome  Shaw | Alderwoman: Kyree Smith | City Clerk: Patricia Johnson
Duck Hill,,"PAGE FOUND, NO WEB LINK",Duck-Hill,(662) 565-7200,619,06/2029,Mayor: Alfonzo White | Alderman: Michael Allen | Alderwoman: Shernell Brown-Everette | Alderman: Christopher Caldwell | Alderwoman: Jacqueline Eskridge | Alderwoman: Likisha Small | City Clerk/Court Clerk: Lasonja Sizemore
Dumas,,"PAGE FOUND, NO WEB LINK",Dumas,(662) 837-6118,460,06/2029,Mayor: John Orman | Alderman: Nick  Allmond | Alderwoman: Tammy Almand | Alderwoman: Lauren Childers | Alderwoman: Penny Hill | City Clerk: Tiffany Rinehart
Duncan,,"PAGE FOUND, NO WEB LINK",Duncan,(662) 902-7371,276,06/2029,Mayor: Charles Harvey | Alderwoman: Tara Bell | Alderman: Earnest Caston | Alderman: John Janous | Alderman: Lynn McMurchy | Alderwoman: Shirley Reddics | City Clerk: Curtis Boschert
Durant,,"PAGE FOUND, NO WEB LINK",Durant,(662) 653-3314,2048,06/2029,Mayor: John Haynes | Alderman: Terry Floyd | Alderwoman: Linda McDonald | Alderman: Leotha  Patterson | Alderman: Ronnie Gladney | Alderman: Henry Robinson | City Clerk: Ursula Perry
Ecru,,"PAGE FOUND, NO WEB LINK",Ecru,(662) 489-3881,904,06/2029,Mayor: Mike Nesbit | Alderman At-Large: Scott Holcomb | Alderwoman At-Large: Allison Richardson | Alderman At-Large: James Speck | Alderman At-Large: Joey Tharp | Alderman At-Large: Gable Todd | City Clerk: Mitzi Stokes
Eden,,"PAGE FOUND, NO WEB LINK",Eden,(662) 746-7966,121,06/2029,Mayor: Lekisha Hogan | Alderman: David Banks | Alderman: Doyle Berry | Alderman: Tavarius Clark | Alderwoman: Ellen Clark | Alderwoman: Kathy Earley | City Clerk: Walter Jones
Edwards,http://www.townofedwardsms.com/,OK,Edwards,(601) 852-5461,995,06/2029,Mayor: LeKentric Caston | Alderman: Tommy Brown | Alderman At-Large: Derrick Clark | Alderwoman: Carolyn Glin | Alderwoman: Beulah Jones | Alderwoman: Kedra Williams-Pope | City Clerk: Arkamia Hunter
Ellisville,,"PAGE FOUND, NO WEB LINK",Ellisville,(601) 477-3323,4500,06/2029,Mayor: Lynn Buckhaults | Alderman At-Large: Ola Mitchell | Alderman: Chris Hall | Alderman: Jeffery Williams | Alderman: Aaron Heidelberg | Alderman: Carson Graham | City Clerk: Michelle McAlipin
Enterprise,,"PAGE FOUND, NO WEB LINK",Enterprise,(601) 659-7971,496,06/2029,Mayor: Steven Gunn | Alderwoman: Emily Chancelor | Alderman: Talmadge Gray | Alderman: Heath Kasselman | Alderman: Benjamin Moore | Alderman: Darrell Phillips | City Clerk/Court Clerk: Ruth Combest
Ethel,,"PAGE FOUND, NO WEB LINK",Ethel,(662) 674-5222,348,06/2029,Mayor: Gwen Sims | Alderwoman: Kathy Barksdale | Alderwoman: Patricia Bouley | Alderwoman: Anna Burns | Alderwoman: Lydia Fair | Alderwoman: Audrey Handy | City Clerk: Lina White
Eupora,,"PAGE FOUND, NO WEB LINK",Eupora,(662) 258-2291,2057,06/2029,Mayor: Lamar Dumas | Alderman: Gerald  Gary | Alderman: James Shaw | Alderman: William Tabb | Alderman: Ricky Newton | Alderman: Calvin Robinson | City Clerk: Gail Newton
Falcon,,NOT FOUND (non-member?),,,,,
Falkner,,"PAGE FOUND, NO WEB LINK",Falkner,(662) 837-4940,424,06/2029,Mayor: James Shelton | Alderwoman: Amy Butler | Alderman: John Butler | Alderwoman: Susan Rutherford | Alderman: Petie Rutherford | Alderwoman: Amanda Wallace | City Clerk: Tracy Jeter
Farmington,,"PAGE FOUND, NO WEB LINK",Farmington,(662) 665-9647,"2,029",06/2029,Mayor: Ricky Fields | Alderman: Ricky Gibens | Alderman: Jeffery Patterson | Alderwoman: Tammy Philamlee | Alderman: Johnny Potts | Alderman: Luther Rhodes | City Clerk/Court Clerk: Jana Blythe
Fayette,,"PAGE FOUND, NO WEB LINK",Fayette,(601) 786-3682,"1,445",06/2025,Mayor: Londell Eanochs | Alderman: Jarret Dyer | Alderwoman: Ella Hudson | Alderman: Deliquin James | Alderman: Derrick Perryman | Alderman: Fredrick Washington | City Clerk: Kadeidra Eanochs
Flora,,"PAGE FOUND, NO WEB LINK",Flora,(601) 879-8686,1647,06/2029,Mayor: Les Childress | Alderwoman: Ashley  Brown Tucker | Alderman: Kenny Jenkins | Alderman: Jimmie Jones | Alderman: Alvin Lunsford | Alderman: Jeff Rankin | City Clerk: Anna  Evans
Florence,https://cityofflorencems.com,OK,Florence,(601) 845-2462,4541,06/2029,Mayor: Trey Gunn | Alderman At-Large: John Banks | Alderman At-Large: Brian Grantham | Alderman: Mason Herrin | Alderman At-Large: Kyle Martin | Alderman At-Large: Brent Sistrunk | City Clerk: Linda Wigley
Flowood,https://www.cityofflowood.com/,OK,Flowood,(601) 939-4243,"10,200",06/2029,Mayor: Kathy Smith | Alderwoman: Kimberly Buford | Alderman: Mike Prestage | Alderman: Seth Robbins | Alderman: Deron Harmon | Alderman: Kirk McDaniel | City Clerk: Joshua Carlisle
Forest,http:www.cityofforest.com,OK,Forest,(601) 469-2921,5684,06/2029,Mayor: Nancy Chambers | Alderman: Teddy Bloodsaw | Alderman: Allan Atkison | Alderman: Harry Robinson | Alderwoman: Cynthia Melton | Alderman: William Alford | City Clerk: Faye Johnston
French Camp,https://frenchcamp.gov/index.html,OK,French-Camp,(662) 312-6614,256,06/2029,Mayor: Harold Barlow | Alderwoman: Jan Henderson | Alderman: Bobby Gene Henderson | Alderman At-Large: Curtis Kirby | Alderman: Maria Price | Alderwoman: Mitzi  Watkins | City Clerk: Rebecca Bridges-Tompkins
