municipality,office_id,role,elected,seats,seat_structure,term_years,staggered_terms,partisan,legal_source_url,election_source_url,results_source_url,verification_status,notes,local_title
Somerville,somerville-ma/mayor,Mayor,True,1,single,2,False,,https://www.somervillema.gov/government,https://www.somervillema.gov/votesomerville,https://www.somervillema.gov/votesomerville,schema-ready,Official city government pages establish direct-voter offices; ex-officio school roles are excluded.,Mayor
Southampton,southampton-ma/board-of-health-member,Board of Health Member,True,3,board,3,True,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Board of Health Member
Southampton,southampton-ma/cemetery-commissioner,Cemetery Commissioner,True,3,board,3,True,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Cemetery Commissioner
Southampton,southampton-ma/community-preservation-committee-at-large-member,Community Preservation Committee At-Large Member,True,2,board,3,True,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Community Preservation Committee At-Large Member
Southampton,southampton-ma/constable,Constable,True,2,board,3,True,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Constable
Southampton,southampton-ma/housing-authority-member,Housing Authority Member,True,5,board,5,True,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Housing Authority Member
Southampton,southampton-ma/library-trustee,Library Trustee,True,12,board,3,True,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Library Trustee
Southampton,southampton-ma/park-commissioner,Park Commissioner,True,5,board,3,True,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Park Commissioner
Southampton,southampton-ma/planning-board-member,Planning Board Member,True,5,board,5,True,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Planning Board Member
Southampton,southampton-ma/norris-school-committee-member,Norris School Committee Member,True,5,board,3,True,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Norris School Committee Member
Southampton,southampton-ma/hampshire-regional-school-committee-southampton-member,Hampshire Regional School Committee Southampton Member,True,4,board,3,True,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Hampshire Regional School Committee Southampton Member
Southampton,southampton-ma/select-board-member,Select Board Member,True,5,board,3,True,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Select Board Member
Southampton,southampton-ma/town-clerk,Town Clerk,True,1,single,3,False,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Town Clerk
Southampton,southampton-ma/treasurer-collector,Treasurer-Collector,True,1,single,3,False,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Treasurer-Collector
Southampton,southampton-ma/moderator,Moderator,True,1,single,1,False,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Moderator
Southampton,southampton-ma/tree-warden,Tree Warden,True,1,single,1,False,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Tree Warden
Southampton,southampton-ma/water-commissioner,Water Commissioner,True,3,board,3,True,,https://resources.finalsite.net/images/v1780950151/townofsouthamptonorg/s8s8pxftmprpjdpyouor/Southampton2025AnnualReportFinal.pdf,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,schema-ready,Official 2025 annual report explicitly lists this body/office in the elected-official roster; post-2026 holder evidence is reconciled conservatively.,Water Commissioner
Southampton,southampton-ma/finance-committee-member,Finance Committee Member,True,5,board,3,True,,https://ecode360.com/38188183,https://www.townofsouthampton.org/government/administration/town-clerk/elections,https://www.townofsouthampton.org/government/administration/town-clerk/elections,research-only-unresolved-structure,"Current codified bylaw still shows an elected Finance Committee, but a 2026 amendment proposal would convert future membership to Moderator appointment; adoption/effective-status evidence was not safely located, so the row is withheld from schema serialization.",Finance Committee Member
Southborough,southborough-ma/town-clerk,Town Clerk,True,1,single,3,False,,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/DocumentCenter/View/5754/20260512-ATE-Official-Results,schema-ready,Official election warrant establishes offices/terms; current municipal directories/results reconcile post-election holders. Housing Authority is limited to the current locally elected complement.,Town Clerk
Southborough,southborough-ma/board-of-assessors-member,Board of Assessors Member,True,3,board,3,True,,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/DocumentCenter/View/5754/20260512-ATE-Official-Results,schema-ready,Official election warrant establishes offices/terms; current municipal directories/results reconcile post-election holders. Housing Authority is limited to the current locally elected complement.,Board of Assessors Member
Southborough,southborough-ma/commissioner-of-trust-funds,Commissioner of Trust Funds,True,3,board,3,True,,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/DocumentCenter/View/5754/20260512-ATE-Official-Results,schema-ready,Official election warrant establishes offices/terms; current municipal directories/results reconcile post-election holders. Housing Authority is limited to the current locally elected complement.,Commissioner of Trust Funds
Southborough,southborough-ma/board-of-health-member,Board of Health Member,True,3,board,3,True,,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/DocumentCenter/View/5754/20260512-ATE-Official-Results,schema-ready,Official election warrant establishes offices/terms; current municipal directories/results reconcile post-election holders. Housing Authority is limited to the current locally elected complement.,Board of Health Member
Southborough,southborough-ma/library-trustee,Library Trustee,True,6,board,3,True,,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/DocumentCenter/View/5754/20260512-ATE-Official-Results,schema-ready,Official election warrant establishes offices/terms; current municipal directories/results reconcile post-election holders. Housing Authority is limited to the current locally elected complement.,Library Trustee
Southborough,southborough-ma/housing-authority-member,Housing Authority Member,True,3,board,5,True,,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/DocumentCenter/View/5754/20260512-ATE-Official-Results,schema-ready,Official election warrant establishes offices/terms; current municipal directories/results reconcile post-election holders. Housing Authority is limited to the current locally elected complement.,Housing Authority Member
Southborough,southborough-ma/moderator,Moderator,True,1,single,1,False,,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/DocumentCenter/View/5754/20260512-ATE-Official-Results,schema-ready,Official election warrant establishes offices/terms; current municipal directories/results reconcile post-election holders. Housing Authority is limited to the current locally elected complement.,Moderator
Southborough,southborough-ma/northborough-southborough-regional-school-committee-southborough-member,Northborough-Southborough Regional School Committee Southborough Member,True,5,board,3,True,,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/DocumentCenter/View/5754/20260512-ATE-Official-Results,schema-ready,Official election warrant establishes offices/terms; current municipal directories/results reconcile post-election holders. Housing Authority is limited to the current locally elected complement.,Northborough-Southborough Regional School Committee Southborough Member
Southborough,southborough-ma/planning-board-member,Planning Board Member,True,5,board,5,True,,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/DocumentCenter/View/5754/20260512-ATE-Official-Results,schema-ready,Official election warrant establishes offices/terms; current municipal directories/results reconcile post-election holders. Housing Authority is limited to the current locally elected complement.,Planning Board Member
Southborough,southborough-ma/select-board-member,Select Board Member,True,5,board,3,True,,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/DocumentCenter/View/5754/20260512-ATE-Official-Results,schema-ready,Official election warrant establishes offices/terms; current municipal directories/results reconcile post-election holders. Housing Authority is limited to the current locally elected complement.,Select Board Member
Southborough,southborough-ma/southborough-school-committee-member,Southborough School Committee Member,True,5,board,3,True,,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/DocumentCenter/View/5754/20260512-ATE-Official-Results,schema-ready,Official election warrant establishes offices/terms; current municipal directories/results reconcile post-election holders. Housing Authority is limited to the current locally elected complement.,Southborough School Committee Member
Southborough,southborough-ma/assabet-valley-regional-vocational-school-district-committee-member,Assabet Valley Regional Vocational School District Committee Member,True,1,single,4,False,,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/AgendaCenter/ViewFile/Minutes/_04282026-6779,https://www.southboroughma.gov/DocumentCenter/View/5754/20260512-ATE-Official-Results,schema-ready,Official election warrant establishes offices/terms; current municipal directories/results reconcile post-election holders. Housing Authority is limited to the current locally elected complement.,Assabet Valley Regional Vocational School District Committee Member
Southbridge,southbridge-ma/town-councilor-at-large,Town Councilor At-Large,True,9,board,3,True,,https://www.ci.southbridge.ma.us/DocumentCenter/View/5012/Southbridge-Home-Rule-Charter-with-revisions-from-2025-local-election-revised-31226,https://www.ci.southbridge.ma.us/m/NewsFlash/Home/Detail/251,https://www.ci.southbridge.ma.us/m/NewsFlash/Home/Detail/251,schema-ready,Current revised home-rule charter and municipal bylaws enumerate these direct-voter offices; appointed complements are excluded.,Town Councilor At-Large
Southbridge,southbridge-ma/school-committee-member,School Committee Member,True,7,board,3,True,,https://www.ci.southbridge.ma.us/DocumentCenter/View/5012/Southbridge-Home-Rule-Charter-with-revisions-from-2025-local-election-revised-31226,https://www.ci.southbridge.ma.us/m/NewsFlash/Home/Detail/251,https://www.ci.southbridge.ma.us/m/NewsFlash/Home/Detail/251,schema-ready,Current revised home-rule charter and municipal bylaws enumerate these direct-voter offices; appointed complements are excluded.,School Committee Member
Southbridge,southbridge-ma/southern-worcester-county-regional-vocational-school-committee-member,Southern Worcester County Regional Vocational School Committee Member,True,2,board,3,True,,https://www.ci.southbridge.ma.us/DocumentCenter/View/5012/Southbridge-Home-Rule-Charter-with-revisions-from-2025-local-election-revised-31226,https://www.ci.southbridge.ma.us/m/NewsFlash/Home/Detail/251,https://www.ci.southbridge.ma.us/m/NewsFlash/Home/Detail/251,schema-ready,Current revised home-rule charter and municipal bylaws enumerate these direct-voter offices; appointed complements are excluded.,Southern Worcester County Regional Vocational School Committee Member
Southbridge,southbridge-ma/town-clerk,Town Clerk,True,1,single,3,False,,https://www.ci.southbridge.ma.us/DocumentCenter/View/5012/Southbridge-Home-Rule-Charter-with-revisions-from-2025-local-election-revised-31226,https://www.ci.southbridge.ma.us/m/NewsFlash/Home/Detail/251,https://www.ci.southbridge.ma.us/m/NewsFlash/Home/Detail/251,schema-ready,Current revised home-rule charter and municipal bylaws enumerate these direct-voter offices; appointed complements are excluded.,Town Clerk
Southbridge,southbridge-ma/housing-authority-member,Housing Authority Member,True,4,board,5,True,,https://www.ci.southbridge.ma.us/DocumentCenter/View/5012/Southbridge-Home-Rule-Charter-with-revisions-from-2025-local-election-revised-31226,https://www.ci.southbridge.ma.us/m/NewsFlash/Home/Detail/251,https://www.ci.southbridge.ma.us/m/NewsFlash/Home/Detail/251,schema-ready,Current revised home-rule charter and municipal bylaws enumerate these direct-voter offices; appointed complements are excluded.,Housing Authority Member
Southbridge,southbridge-ma/redevelopment-authority-member,Redevelopment Authority Member,True,4,board,5,True,,https://www.ci.southbridge.ma.us/DocumentCenter/View/5012/Southbridge-Home-Rule-Charter-with-revisions-from-2025-local-election-revised-31226,https://www.ci.southbridge.ma.us/m/NewsFlash/Home/Detail/251,https://www.ci.southbridge.ma.us/m/NewsFlash/Home/Detail/251,schema-ready,Current revised home-rule charter and municipal bylaws enumerate these direct-voter offices; appointed complements are excluded.,Redevelopment Authority Member
Southbridge,southbridge-ma/board-of-assessors-member,Board of Assessors Member,True,2,board,3,True,,https://www.ci.southbridge.ma.us/DocumentCenter/View/5012/Southbridge-Home-Rule-Charter-with-revisions-from-2025-local-election-revised-31226,https://www.ci.southbridge.ma.us/m/NewsFlash/Home/Detail/251,https://www.ci.southbridge.ma.us/m/NewsFlash/Home/Detail/251,schema-ready,Current revised home-rule charter and municipal bylaws enumerate these direct-voter offices; appointed complements are excluded.,Board of Assessors Member
