municipality,office_id,seat,person_name,current_status,source_url,retrieved_on,notes
Somerville,somerville-ma/mayor,1,Jake Wilson,verified-current,https://www.somervillema.gov/official/mayor,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/library-trustee,4,Jennifer Couturier,verified-current,https://www.southhadley.org/315/Public-Library,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/library-trustee,5,David Morrell,verified-current,https://www.southhadley.org/315/Public-Library,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/library-trustee,6,David Solender-Clark,verified-current,https://www.southhadley.org/315/Public-Library,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/library-trustee,7,Lanette Sweeney,verified-current,https://www.southhadley.org/315/Public-Library,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/library-trustee,8,Timna Tarr,verified-current,https://www.southhadley.org/315/Public-Library,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/library-trustee,9,Gillian Woldorf,verified-current,https://www.southhadley.org/315/Public-Library,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/planning-board-member,1,Diane Supczak-Mulvaney,verified-current,https://www.southhadley.org/1124/Planning,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/planning-board-member,2,Bob Szklarz,verified-current,https://www.southhadley.org/1124/Planning,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/planning-board-member,3,Brad Hutchison,verified-current,https://www.southhadley.org/1124/Planning,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/planning-board-member,4,Linda Gouin,verified-current,https://www.southhadley.org/1124/Planning,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/planning-board-member,5,,explicit-vacancy,https://www.southhadley.org/1124/Planning,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
South Hadley,south-hadley-ma/representative-town-meeting-member,1,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,2,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,3,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,4,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,5,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,6,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,7,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,8,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,9,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,10,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,11,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,12,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,13,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,14,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,15,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,16,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,17,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,18,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,19,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,20,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,21,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,22,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,23,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,24,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,25,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,26,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,27,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,28,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,29,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,30,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,31,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,32,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,33,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,34,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,35,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,36,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,37,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,38,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,39,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,40,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,41,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,42,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,43,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,44,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,45,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,46,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,47,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,48,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,49,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,50,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,51,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,52,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
South Hadley,south-hadley-ma/representative-town-meeting-member,53,,unresolved-current-holder,https://www.southhadley.org/DocumentCenter/View/14513/2026-South-Hadley-Election-Cycle-Key-Dates,2026-08-25,Representative Town Meeting structure is preserved; a complete current 120-person roster was not safely reconciled in this overlay.
