municipality,office_id,seat,person_name,current_status,source_url,retrieved_on,notes
Uxbridge,uxbridge-ma/select-board,1,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/library-trustee,5,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/library-trustee,6,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/board-health,1,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/board-health,2,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/board-health,3,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/board-health,4,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Uxbridge,uxbridge-ma/board-health,5,,unresolved,https://www.uxbridge-ma.gov/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/town-council,1,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/town-council,2,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/town-council,3,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/town-council,4,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/town-council,5,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/town-council,6,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/town-council,7,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/moderator,1,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/town-clerk,1,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/board-assessors,1,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/board-assessors,2,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/board-assessors,3,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/tax-collector,1,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/treasurer,1,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/school-committee,1,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/school-committee,2,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/school-committee,3,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/school-committee,4,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/school-committee,5,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/school-committee,6,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/school-committee,7,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/board-health,1,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/board-health,2,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/board-health,3,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/planning-board,1,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/planning-board,2,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/planning-board,3,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/planning-board,4,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/planning-board,5,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/housing-authority,1,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/housing-authority,2,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/housing-authority,3,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/library-trustee,1,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/library-trustee,2,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/library-trustee,3,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/library-trustee,4,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/library-trustee,5,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/library-trustee,6,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/library-trustee,7,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/library-trustee,8,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/library-trustee,9,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/municipal-gas-light-commission,1,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/municipal-gas-light-commission,2,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/municipal-gas-light-commission,3,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/constable,1,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/constable,2,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/constable,3,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wakefield,wakefield-ma/northeast-metro-vocational-school-committee,1,,unresolved,https://www.wakefield.ma.us/town-clerk/elections,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/library-trustee,1,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/library-trustee,2,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/library-trustee,3,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/planning-board,1,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/planning-board,2,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/planning-board,3,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/planning-board,4,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/planning-board,5,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/tantasqua-regional-school-committee,1,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/school-committee,1,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/school-committee,2,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/school-committee,3,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/school-committee,4,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/school-committee,5,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/moderator,1,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/constable,1,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/constable,2,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/constable,3,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/select-board,1,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/select-board,2,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/select-board,3,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/town-clerk,1,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/tax-collector,1,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/board-assessors,1,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/board-assessors,2,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/board-assessors,3,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/treasurer,1,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/cemetery-commission,1,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/cemetery-commission,2,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/cemetery-commission,3,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/board-health,1,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/board-health,2,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Wales,wales-ma/board-health,3,,unresolved,https://www.townofwales.net/,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/select-board,1,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/select-board,2,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/select-board,3,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/select-board,4,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/select-board,5,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/school-committee,1,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/school-committee,2,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/school-committee,3,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/school-committee,4,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/school-committee,5,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/school-committee,6,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/school-committee,7,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/library-trustee,1,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/library-trustee,2,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/library-trustee,3,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/library-trustee,4,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/library-trustee,5,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/sewer-water-commission,1,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/sewer-water-commission,2,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/sewer-water-commission,3,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/sewer-water-commission,4,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/sewer-water-commission,5,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/moderator,1,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/housing-authority,1,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/housing-authority,2,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/housing-authority,3,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/board-assessors,1,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/board-assessors,2,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/board-assessors,3,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/planning-board,1,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/planning-board,2,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/planning-board,3,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/planning-board,4,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/planning-board,5,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,1,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,2,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,3,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,4,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,5,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,6,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,7,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,8,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,9,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,10,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,11,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,12,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,13,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,14,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,15,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,16,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,17,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,18,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,19,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,20,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,21,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,22,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,23,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,24,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,25,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,26,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,27,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,28,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,29,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Walpole,walpole-ma/representative-town-meeting,30,,unresolved,https://www.walpole-ma.gov/town-clerk,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
