municipality,office_or_body,status,source_url,note
Blackstone,Finance Committee,appointed,https://www.townofblackstone.org/455/Boards-Committees,Official town page states nine Finance Committee members are appointed by the Moderator for three-year terms.
Bourne,Finance Committee,appointed,https://www.bourne-ma.gov/1203/Town-Meeting-Information,Official Town Meeting information identifies the Finance Committee as appointed.
Bridgewater,Financial Committee,appointed,https://www.bridgewaterma.gov/government/financial_committee/index.php,"Nine-member Financial Committee is appointed: three by Town Manager, three by Town Council, three by Town Clerk."
Bridgewater,Board of Registrars,appointed,https://www.bridgewaterma.gov/government/town_clerk/board_of_registrars.php,Official town page identifies Board of Registrars through appointment rather than municipal election.
Chatham,Town Clerk,appointed,https://www.chatham-ma.gov/573/Whos-Who-at-Town-Meeting,Official Town Meeting guide states the Town Clerk is appointed by the Town Manager.
Chatham,Finance Committee,appointed,https://www.chatham-ma.gov/573/Whos-Who-at-Town-Meeting,Official Town Meeting guide states the nine-member Finance Committee is appointed by the Moderator.
Chelmsford,Board of Assessors,appointed,https://www.chelmsfordma.gov/988/Board-Committee-Descriptions,Official board directory explicitly identifies three appointed Assessors.
Chelmsford,Board of Registrars,appointed,https://www.chelmsfordma.gov/988/Board-Committee-Descriptions,Official board directory identifies three appointed registrars.
Chelmsford,Nashoba Valley Technical High School District School Committee representative,appointed,https://www.chelmsfordma.gov/988/Board-Committee-Descriptions,Official directory states member towns appoint their representatives to this regional vocational school committee.
Cheshire,Finance Committee,appointed,https://cheshire-ma.gov/finance-committee/,Official page states seven voters are appointed by the Moderator.
Cheshire,Agricultural Commission,appointed,https://cheshire-ma.gov/agricultural-commission/,Official page states members are appointed by the Board of Selectmen.
Chester,Board of Assessors,appointed,https://townofchester.net/2026/05/available-appointments-for-town-boards-committees/,The 2026 town appointment notice lists all three Assessors as appointed positions; this supersedes older election-result evidence.
Chester,Cemetery Commissioner,appointed,https://townofchester.net/2026/05/available-appointments-for-town-boards-committees/,The 2026 appointment notice lists three Cemetery Commissioner positions for appointment.
Chester,Planning Board,appointed,https://townofchester.net/2026/05/available-appointments-for-town-boards-committees/,Current 2026 town appointment notice lists Planning Board among appointed bodies.
Chester,Town Clerk,appointed,https://townofchester.net/2026/05/available-appointments-for-town-boards-committees/,"Current 2026 appointment notice lists Town Clerk as an appointed position. Older 2017 voters rejected appointment, so a later change occurred; current source controls this audit."
Chester,Tax Collector,appointed,https://townofchester.net/2026/05/available-appointments-for-town-boards-committees/,Current 2026 appointment notice lists Tax Collector as appointed; older election evidence is historical only.
Chesterfield,Cemetery Commission,appointed,https://www.townofchesterfieldma.com/government/pages/contact-info-elected-and-appointed-officials,Official town roster places the three-member Cemetery Commission under Appointed Town Officials.
Chesterfield,Planning Board Associate Members,appointed,https://www.townofchesterfieldma.com/government/pages/contact-info-elected-and-appointed-officials,Two associate Planning Board members are appointed by the Moderator for one-year terms; regular seven-member Planning Board is elected.
Chesterfield,Board of Registrars,appointed,https://www.townofchesterfieldma.com/government/pages/contact-info-elected-and-appointed-officials,Official town roster lists Board of Registrars as appointed.
Chicopee,Mayor's School Committee chairmanship,ex-officio,https://ecode360.com/12595888,Mayor is School Committee chair by charter; the Mayor is not a separate School Committee elected seat.
Chicopee,Board of Health; Public Library Trustees (historic charter selection),city-council-elected,https://ecode360.com/12595865,"Charter §16 provides internal election by City Council, not election by municipal voters; these are excluded from voter-elected Office inventory unless later law establishes otherwise."
Chicopee,Fairview Cemetery Commissioners,appointed,https://ecode360.com/12595891,Charter §38 provides mayoral appointment.
Blackstone,Town Administrator; Town Accountant; Town Counsel; Board of Registrars; Conservation Commission; Council on Aging; Historical Commission; Library Trustees; Zoning Board of Appeals; Industrial Development bodies and other Charter §C3-3 positions,appointed,https://ecode360.com/12065778,Blackstone Charter §C3-3 explicitly places these offices/bodies in the Select Board's appointment authority.
Bolton,Economic Development Committee; Board of Registrars; Zoning Board of Appeals; Conservation Commission; Council on Aging and various advisory committees,appointed,https://www.townofbolton.com/node/14653,Official Select Board appointment records establish these as appointed rather than elected.
Boxborough,Agricultural Commission; Cemetery Commission; Conservation Commission; Finance Committee; Historical Commission; Recreation Commission; Zoning Board of Appeals; Economic Development Committee and other Resident Interest Form appointed bodies,appointed,https://www.boxborough-ma.gov/FormCenter/Town-Administrator-11/Resident-Interest-Form-93,The Town's Resident Interest Form explicitly separates these appointed bodies from its five listed elected bodies.
Braintree,Housing Authority state-appointed seat and tenant-appointed seat,appointed,https://www.braintreema.gov/m/faq?cat=34,Current local elected-official list distinguishes three locally elected authority members from one state appointment and one tenant appointment.
Brewster,Town Clerk,appointed,https://www.brewster-ma.gov/town-clerk,Official Town Clerk page identifies the Clerk as appointed; do not treat it as an elected general-law office.
Bridgewater,"Town Clerk and all town offices/boards/agencies other than Town Council, regional School Committee, Library Trustees, and separately established elected regional authorities/districts",appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2018/Chapter404,"2018 Charter §3-1 says all other offices, boards, committees and agencies are appointed by the Town Manager; Article III-A makes Town Clerk appointed by Town Council."
Clinton,Historical Commission,appointed,https://www.clintonma.gov/198/Boards-Commissions,Official town board directory explicitly describes the Historical Commission as town-appointed.
Clinton,Council on Aging Board,appointed,https://www.clintonma.gov/289/COUNCIL-ON-AGING-BOARD,Official page states Council on Aging members are appointed by the Select Board/COA chair under the town's creation vote.
Cohasset,Housing Authority gubernatorial seat,appointed,https://www.cohassetma.gov/287/Housing-Authority,Five-member Housing Authority has four voter-elected commissioners and one Governor-appointed commissioner.
Concord,Most other town boards and committees,appointed,https://www.concordma.gov/1630/Concords-Elected-Representatives,"Town explicitly states voters elect only Select Board, School Committee, Housing Authority, and Moderator; other boards/committees are generally appointed by Town Manager, Select Board, or Moderator."
Concord,Housing Authority resident/tenant seat; Housing Authority gubernatorial seat,appointed,https://www.concordma.gov/1096/Housing-Authority,"Official page states three Housing Authority seats are elected, one tenant/resident member is appointed by Select Board, and one member is Governor-appointed."
Berlin,Agricultural Commission; Economic Development Committee; Community Preservation at-large seats; Berlin Housing Partnership; Earthwork Advisory Committee and numerous other committees,appointed,https://www.townofberlin.com/1418/Liaison-GuidelinesPolicy,"Berlin's official board/liaison and individual committee pages distinguish these appointed bodies from elected boards such as Assessors, Board of Health and Planning Board."
Buckland,"Most boards/committees not listed on the annual municipal ballot, including Agricultural Commission, Conservation Commission, Council on Aging, Cultural Council, Energy Committee, Historical Commission, Personnel Board and Zoning Board of Appeals",appointed,https://www.town.buckland.ma.us/select-board/pages/board-and-committee-appointment,Select Board's official appointment policy governs vacancies on town committees; the audit treats only offices explicitly appearing on the 2026 municipal ballot as elected until a controlling source shows otherwise.
Cummington,Various committees/boards not identified as elected,appointed-or-unresolved,https://cummington-ma.gov/Profile.php,"Official profile states Select Board appoints individuals to various committees/boards and also says several boards are elected, but does not enumerate which. Unenumerated bodies are not assumed elected."
Dalton,Town Manager; Board of Registrars non-clerk members,appointed,https://dalton-ma.gov/town-manager/,Town Manager is appointed by Select Board; election page states other Registrars are appointed for three-year terms.
Danvers,Finance Committee,appointed,https://www.danversma.gov/448/Town-Meeting,Official Town Meeting page states the Moderator appoints Finance Committee members.
Danvers,Select Board membership in Town Meeting,ex-officio-legislative-membership,https://www.danversma.gov/448/Town-Meeting,Five Select Board members serve as Town Meeting Members by virtue of Select Board office. They are not separate Town Meeting Member election contests and are excluded from the 144 direct Town Meeting seat count.
Chelsea,City Manager and ordinary multiple-member boards/commissions,appointed,https://library.municode.com/ma/chelsea/codes/code_of_ordinances?nodeId=PTICH_CHCHMA,Chelsea charter provides for an appointed City Manager and appointment of ordinary multiple-member bodies; only separately charter-designated elective bodies are treated as elected.
Dennis,Board of Registrars members other than the elected Town Clerk,appointed,https://town.dennis.ma.us/370/Board-of-Registrars-of-Voters,Three registrars are appointed by the Select Board for three-year terms; the elected Town Clerk is the fourth board member.
Douglas,Town Administrator and most department heads / many boards and committees,appointed,https://www.douglas-ma.gov/149/Administration,Town Administrator is established by special act and appoints most department heads; Select Board also appoints many boards and committees.
Dover,Warrant Committee,appointed,https://www.doverma.gov/338/Warrant-Committee,Nine-member Warrant Committee is appointed by the Moderator.
Dover,Personnel Board,appointed,https://www.doverma.gov/325/Personnel-Board,Personnel Board members are appointed by designated municipal authorities; Town Administrator also serves ex officio.
Dracut,Town Accountant,appointed,https://www.dracutma.gov/DocumentCenter/View/467/Dracut-Town-Charter-PDF,Charter Article III assigns appointment rather than election.
Dracut,Board of Assessors,appointed,https://www.dracutma.gov/DocumentCenter/View/467/Dracut-Town-Charter-PDF,Charter Article III establishes a three-member Board of Assessors appointed by the Town Manager.
Dracut,Board of Health,appointed,https://www.dracutma.gov/DocumentCenter/View/467/Dracut-Town-Charter-PDF,Charter Article III establishes a three-member Board of Health appointed by the Town Manager.
Dracut,Planning Board,appointed,https://www.dracutma.gov/DocumentCenter/View/467/Dracut-Town-Charter-PDF,Charter Article III establishes a five-member Planning Board appointed by the Town Manager; associate members are appointed.
Dracut,Constables,appointed,https://www.dracutma.gov/DocumentCenter/View/467/Dracut-Town-Charter-PDF,Charter assigns appointment of Constables to the Board of Selectmen.
Dunstable,Town Clerk,appointed,https://www.dunstable-ma.gov/town-clerk,Current official Town Clerk page states that the Town Clerk is appointed by the Select Board.
Dunstable,Parks Commission,appointed,https://www.dunstable-ma.gov/parks-commissioners,Current official page states that the Parks Commission has been an appointed body since 2020; historical elected Park Commissioner records are therefore not carried forward as current elected offices.
Dunstable,Personnel Board,appointed,https://www.dunstable-ma.gov/personnel-board,Current official page expressly describes the Personnel Board as appointed.
Duxbury,Board of Health,appointed,https://www.town.duxbury.ma.us/board-health,Five members are appointed by the Selectboard for three-year terms.
Duxbury,Cemetery Trustees,appointed,https://www.town.duxbury.ma.us/cemetery-trustees,Cemetery Trustees are appointed by the Town Moderator.
Duxbury,Finance Committee,appointed,https://www.town.duxbury.ma.us/finance-committee,Nine members serve staggered three-year terms and are appointed by the Town Moderator.
East Bridgewater,Treasurer/Collector,appointed,https://www.eastbridgewaterma.gov/DocumentCenter/View/680/table_of_organization_-_department_informationpdf-PDF,Official organization chart assigns appointment to the Select Board rather than election.
East Bridgewater,Planning Board Associate Members,appointed,https://www.eastbridgewaterma.gov/1939/Planning-Board,Associate members are appointed by the Select Board; only the seven regular elected Planning Board seats are modeled.
East Bridgewater,Registrars of Voters (three non-clerk seats),appointed,https://www.eastbridgewaterma.gov/1935/Registrars-of-Voters,Three registrars are appointed by the Select Board; the fourth member is the separately elected Town Clerk ex officio.
East Bridgewater,Constable,appointed,https://eastbridgewaterma.gov/AgendaCenter/ViewFile/Minutes/_06092025-309,Official Select Board minutes state that the Town transitioned from elected to appointed constables; current constable appointments are not elected offices.
East Brookfield,Tree Warden,appointed,https://www.eastbrookfieldma.us/sites/g/files/vyhlif541/f/alerts/atm_minutes_06-10-2026.pdf,"June 10, 2026 Annual Town Meeting amended the bylaws so the Tree Warden shall be appointed; the May 2026 elected contest is historical and not carried forward as a current elected office."
East Brookfield,Finance Committee — Select Board-appointed seats,appointed,https://eastbrookfieldma.us/1307/Finance-Committee,Three Finance Committee seats are appointed by the Board of Selectmen; separate from the three elected seats.
East Brookfield,Finance Committee — Moderator-appointed seats,appointed,https://eastbrookfieldma.us/1307/Finance-Committee,Three Finance Committee seats are appointed by the Moderator; separate from the three elected seats.
East Longmeadow,Town Manager,appointed,https://www.eastlongmeadowma.gov/Archive.aspx?ADID=640,Town Council appoints the Town Manager under the charter form.
East Longmeadow,Town Clerk,appointed,https://www.eastlongmeadowma.gov/Archive.aspx?ADID=640,2025 Annual Report states that the only elected officials are the seven Town Council members and five School Committee members; other boards/offices are appointed.
East Longmeadow,Board of Assessors,appointed,https://www.eastlongmeadowma.gov/Archive.aspx?ADID=640,Only Town Council and School Committee are elected under the charter; all other boards are appointed.
East Longmeadow,Board of Health,appointed,https://www.eastlongmeadowma.gov/Archive.aspx?ADID=640,Only Town Council and School Committee are elected under the charter; all other boards are appointed.
East Longmeadow,Planning Board,appointed,https://www.eastlongmeadowma.gov/Archive.aspx?ADID=640,Only Town Council and School Committee are elected under the charter; all other boards are appointed.
East Longmeadow,Library Trustees,appointed,https://www.eastlongmeadowma.gov/Archive.aspx?ADID=640,Only Town Council and School Committee are elected under the charter; all other boards are appointed.
Eastham,Board of Assessors,appointed,https://www.eastham-ma.gov/541/Board-of-Assessors,Three members are appointed by the Select Board for overlapping three-year terms.
Eastham,Planning Board,appointed,https://www.eastham-ma.gov/DocumentCenter/View/5031/Planning-Board_Meeting-Packet-33026,Seven regular members and two alternates are appointed by the Select Board.
Eastham,Zoning Board of Appeals,appointed,https://www.eastham-ma.gov/DocumentCenter/View/5031/Planning-Board_Meeting-Packet-33026,Five members and two alternates are appointed by the Select Board.
Eastham,Finance Committee,appointed,https://www.eastham-ma.gov/553/Finance-Committee,"Finance Committee seats are filled by designated appointing authorities, not by popular election."
Eastham,Board of Registrars — three non-clerk seats,appointed,https://www.eastham-ma.gov/549/Board-of-Registrars,Three registrars are appointed; the elected Town Clerk serves ex officio and is modeled only as Town Clerk.
Edgartown,Personnel Board,appointed,https://www.edgartown-ma.us/personnel-board,"Four Personnel Board members are appointed by the Selectboard; the fifth is elected internally by Town employees rather than by municipal voters, so no municipal elected Office is created."
Egremont,Town Clerk,appointed,https://www.egremont-ma.gov/193/Town-Clerk,Current official Town Clerk page explicitly advertises the Town Clerk as an appointed position.
Egremont,Finance Committee,appointed,https://www.egremont-ma.gov/DocumentCenter/View/2657/General-Bylaws-Attorney-General-Approved-March-2026-PDF,Current general bylaws provide for six Finance Committee voters to be appointed by the Moderator; no popular-election Office is created.
Erving,Treasurer,appointed,https://www.erving-ma.gov/DocumentCenter/View/2993,"Erving voters approved transition from elected Treasurer to appointed Treasurer in the May 4, 2026 Annual Town Election; Town subsequently advertised for its first appointed Treasurer."
Everett,Board of Assessors,appointed,https://cityofeverett.com/wp-content/uploads/2021/10/11232020-1774.pdf,"City Council records show Board of Assessors members are appointed and council-approved, not elected."
Everett,Board of Health,appointed,https://cityofeverett.com/wp-content/uploads/2021/10/11232020-1774.pdf,"City Council records show Board of Health members are appointed and council-approved, not elected."
Everett,Planning Board,appointed,https://cityofeverett.com/wp-content/uploads/2021/10/11232020-1774.pdf,"City Council records show Planning Board members are appointed and council-approved, not elected."
Fall River,City boards and commissions generally,appointed,https://fallriverma.gov/government/boards___commissions/index.php,"Official City boards-and-commissions page states that many board and commission members are appointed by the Mayor, some subject to City Council confirmation. The municipal election cycle identifies Mayor, City Council, and School Committee as the voter-filled offices modeled here."
Becket,Planning Board Associate Member,appointed,https://www.townofbecket.org/planning-board,Becket's Planning Board associate member is jointly appointed by the Planning Board and Select Board; it is not a voter-elected seat.
Franklin,Library Board of Directors,appointed,https://www.franklinma.gov/653/Library-Board-of-Directors,Five Library Board members are appointed by the Town Administrator subject to Town Council ratification.
Franklin,Finance Committee,appointed,https://www.franklinma.gov/DocumentCenter/View/9913/Town-Charter-List-of-Potential-Changes,Current charter-review materials treat Finance Committee as an appointment structure rather than one of the Article 3 elected boards/officers.
Framingham,Board of Assessors,appointed,https://framinghamma.gov/3843/2024-City-Council-Measures,Current City Council measures document mayoral appointment/reappointment of Board of Assessors members; no elected assessor office is created.
Framingham,Board of Health,appointed,https://framinghamma.gov/3843/2024-City-Council-Measures,Current City Council measures document mayoral appointment of Board of Health members; no elected Board of Health office is created.
Framingham,South Middlesex Regional Vocational School Committee,appointed,https://framinghamma.gov/3843/2024-City-Council-Measures,"Current City Council measures document mayoral appointments to the regional vocational school committee, subject to council action."
Gardner,City Clerk / Treasurer / Auditor / Collector,elected-by-city-council-not-popularly-elected,https://www.gardner-ma.gov/DocumentCenter/View/274/City-Charter-As-Amended-Jan-2-2025?bidId=,Charter §9 provides that these officers are elected by the City Council for three-year terms; they are not offices elected by municipal voters and are excluded from the popular-elected Office inventory.
Gardner,Municipal boards other than School Committee,appointed,https://www.gardner-ma.gov/DocumentCenter/View/274/City-Charter-As-Amended-Jan-2-2025?bidId=,"Charter §6 provides that heads of departments and municipal boards, except School Committee and certain council-elected officers, are appointed by the Mayor subject to City Council confirmation."
Gill,Treasurer,appointed,https://gillmass.org/files/Gill_Selectboard_2026-06-29_Agenda_with_files.pdf,Current Selectboard annual appointments list Treasurer as an appointed one-year position; earlier Town Meeting materials document the conversion effort.
Gill,Tax Collector,appointed,https://gillmass.org/files/Gill_Selectboard_2026-06-29_Agenda_with_files.pdf,Current Selectboard annual appointments list Tax Collector as an appointed one-year position.
Gill,Planning Board,appointed,https://gillmass.org/files/Gill_Selectboard_2026-06-29_Agenda_with_files.pdf,Current Selectboard annual appointments list Planning Board appointments; no popular-election Office is modeled.
Gloucester,"Boards, commissions and committees generally",appointed,https://www.gloucester-ma.gov/89/Boards-Commissions,"Official City page states board, commission and committee members are appointed by the Mayor and approved by the City Council. Popularly elected municipal offices are Mayor, City Council and School Committee."
Grafton,Town Clerk,appointed,https://www.grafton-ma.gov/DocumentCenter/View/9004/2023-Town-Meeting-Warrant_Finance-Committee-Recommendationspdf,Grafton changed Town Clerk from elected to appointed; current charter elective-office list no longer includes Town Clerk.
Grafton,Planning Board Associate Member,appointed-or-non-elected,https://www.grafton-ma.gov/587/Planning-Board,Regular Planning Board is elected; current associate member is separately listed and is not included in the elected-seat total.
Great Barrington,Planning Board Associate Member,appointed,https://www.townofgbma.gov/210/Planning-Board,Official current Planning Board page labels the associate member as appointed; only five regular elected seats are modeled.
Greenfield,Planning Board,appointed,https://greenfield-ma.gov/government/boards_and_commissions/index.php,City Council page states most boards are appointed; exceptions are School Committee and elected Assessors. Planning Board is therefore excluded from the voter-elected office layer.
Groveland,Finance Board,appointed,https://www.grovelandma.com/government/boards_committees/select_board/index.php,Current Select Board vacancy/onboarding page describes Finance Board among appointed bodies; not modeled as voter-elected.
Hamilton,Planning Board Associate/Alternate Member,appointed,https://www.hamiltonma.gov/wp-content/uploads/2026/07/2026_08_03-Select-Board-Meeting-Packet.pdf,Current Select Board packet records joint appointment of a Planning Board alternate; only seven regular elected Planning Board seats are modeled.
Hancock,Conservation Commission and other annual-report appointed officials,appointed,https://town.hancock.ma.us/files/2026/04/Hancock-Annual-Report-2025.pdf,2025 Annual Report separates elected officials from a distinct appointed-officials list; those appointed bodies are excluded.
Hanover,Advisory Committee and numerous study/implementation committees,appointed,https://www.hanover-ma.gov/town-manager/files/committee-commission-board-and-trust-handbook,Town handbook documents appointment structures for numerous committees; only offices evidenced on annual town-election ballots are modeled.
Hanson,Finance Committee,appointed,https://www.hanson-ma.gov/hanson-general-bylaws/pages/general-bylaw-article-2-10,General Bylaw Article 2-10 provides that the Moderator appoints Finance Committee members.
Harvard,Devens Educational Advisory Committee School Committee seat,appointed,https://www.harvard-ma.gov/27/Boards-Committees,Harvard School Committee has five elected members plus one Devens Educational Advisory Committee appointee; only the five elected seats are modeled.
Harwich,Board of Health,appointed,https://www.harwich-ma.gov/board-of-health,Official page states the five-member Board of Health is appointed by the Select Board.
Harwich,Planning Board,appointed,https://www.harwich-ma.gov/planning-board,Current charter page states Planning Board members and alternates are appointed by the Select Board.
Harwich,Finance Committee,appointed,https://www.harwich-ma.gov/finance-committee,Official page states Finance Committee members are appointed by the Town Moderator.
Hawley,Town Clerk,appointed,https://townofhawley.com/town-clerk/,Town Clerk page states voters approved conversion from elected to appointed in 2026.
Hawley,Finance Committee,appointed,https://townofhawley.com/other-town-officials/,Moderator appoints the Finance Committee.
Hawley,Board of Health / Zoning Board of Appeals as separate bodies,ex-officio-not-separate-elections,https://townofhawley.com/officials-boards-committees/select-board/,The three elected Selectmen serve ex officio as Board of Health and ZBA; no duplicate elected offices are created.
Hingham,Non-elected municipal boards not listed on Elected Boards page,appointed-or-other,https://www.hingham-ma.gov/627/Elected-Boards,"Only bodies expressly identified by the Town as elected, plus separately evidenced elected officers, are modeled."
Hinsdale,Board of Health,appointed,https://www.hinsdalemass.com/DocumentCenter/View/251/2020-Annual-Report,Town annual reports explicitly describe the Board of Health as appointed; it is excluded from the elected-office layer.
Holden,Finance Committee,appointed,https://www.holdenma.gov/880/Finance-Committee-Role-and-Process,Town bylaws provide that the Moderator appoints the nine-member Finance Committee.
Holliston,Planning Board Associate Member,appointed,https://www.townofholliston.us/Archive/ViewFile/Item/284,Current elected-officials directory explicitly states the Planning Board associate member is appointed by the Planning Board.
Holliston,Housing Authority state and resident appointees,appointed,https://www.townofholliston.us/Archive/ViewFile/Item/284,The five-member authority has one state appointee and one resident appointee; only three voter-elected seats are modeled.
Holyoke,City Treasurer,appointment-transition/needs-separate-confirmation,https://www.holyoke.org/holyoke-to-vote-january-28-on-changing-treasurers-post-from-elected-to-appointed/,The City held a 2025 vote on converting Treasurer from elected to appointed. Treasurer is not emitted as elected in this batch absent a clean current-status confirmation.
Hopkinton,Most boards and committees not listed on the annual election open-position table,appointed,https://www.hopkintonma.gov/boards___committees/index.php,Town's boards page states appointed boards and committees have expiring appointed terms; only bodies independently evidenced as elected are modeled.
Hull,Library Board of Trustees (current governance page conflict),conflict-preserved,https://www.town.hull.ma.us/576/Library-Board-of-Trustees,"Current library page describes trustees as Select Board-appointed, while the 2026 official election results include two elected 'Trustees of Public Library' seats. The conflict is preserved; elected office remains modeled from the official election."
Ipswich,Planning Board,appointed,https://www.ipswichma.gov/DocumentCenter/View/11488/Planning-Board-elected-or-appointed,"Official Town materials state the five regular Planning Board members and one associate are appointed, not elected."
Ipswich,Library Board of Trustees,appointed,https://www.ipswichma.gov/DocumentCenter/View/1177/Master-Boards--Committees-Listing-?bidId=,Current Town board listing identifies Library Trustees as Select Board appointees; they are excluded from the voter-elected inventory.
Kingston,Planning Board Associate Member,appointed,https://kingstonma.gov/269/Planning-Board,Current Planning Board page states five regular members are elected and one associate is appointed; only the five elected seats are modeled.
Maynard,Assessors,appointed,https://www.townofmaynard-ma.gov/261/Select-Board,Current governance materials identify Assessors as Select Board appointments; do not recreate as elected by general-law default.
Maynard,Board of Health,appointed,https://www.townofmaynard-ma.gov/261/Select-Board,Current governance materials identify Board of Health positions as Select Board appointments.
Maynard,Planning Board,appointed,https://www.townofmaynard-ma.gov/261/Select-Board,Current governance materials identify Planning Board positions as Select Board appointments.
Maynard,Housing Authority tenant representative and state appointee,appointed,https://www.townofmaynard-ma.gov/296/Housing-Authority,Current roster identifies the tenant representative and state appointee separately; only three voter-elected seats are serialized.
Mattapoisett,Community Preservation Committee board-representative seats,appointed,https://www.mattapoisett.gov/263/Community-Preservation-Committee,Only four CPC at-large seats are voter-elected; representative seats filled from other boards are excluded from the elected Post.
Medford,Commission of Trust Funds,appointed,https://www.medfordma.org/boards-commissions/commissioner-of-trust-funds,Commission members are appointed; do not infer an elected trust-fund office from general Massachusetts patterns.
Medway,Town Clerk,appointed,https://www.medwayma.gov/departments/town-clerk/,Current charter transition makes Town Clerk appointed; current clerk Stefany Ohannesian is not serialized as an elected Post.
Medway,Board of Assessors,appointed,https://www.medwayma.gov/board-of-assessors/,Current charter makes the Board of Assessors appointed; the current three-member roster is excluded from the elected inventory.
Medway,Board of Health appointed seats,appointed,https://www.medwayma.gov/board-of-health/,Two of five Board of Health seats are appointed; only the three elected seats are serialized.
Medway,Parks Commission appointed seats,appointed,https://medwayma.gov/dpw-parks-commission/,Two of five Parks Commission seats are appointed; only three elected seats are serialized.
Medway,Water & Sewer Advisory Board appointed seats,appointed,https://www.medwayma.gov/dpw-water-sewer/,Two board seats are appointed; only the three charter-elected seats are serialized.
Medway,Redevelopment Authority state-appointed seat,appointed,https://medwayma.gov/redevelopment-authority/,One of five Redevelopment Authority seats is state-appointed; only four local elected seats are serialized.
Medway,Housing Authority tenant representative and state appointee,appointed,https://medwayma.gov/housing-authority/,Current roster distinguishes tenant and state-appointed seats from the three locally elected seats.
Medway,Tri-County Regional Vocational School Committee representative,appointed,https://storage.googleapis.com/juniper-media-library/117/2024/08/medway_charter_for_posting.pdf,Medway charter provides for appointment rather than direct local election of this regional vocational-school representative.
Mendon,Highway Surveyor,appointed,https://www.mendonma.gov/sites/g/files/vyhlif881/f/pages/2023_annual_town_report_0.pdf,Highway Surveyor transitioned to an appointed office in May 2023 and is excluded from the current elected inventory.
Mendon,Housing Authority resident/tenant and state-appointed seats,appointed,https://mendonma.gov/169/Housing-Authority,Only three local voter-elected Housing Authority seats are serialized; resident/tenant and state-appointed positions are excluded.
Merrimac,Whittier Regional Vocational Technical School Committee representative,appointed,https://townofmerrimac.com/notices/whittier-regional-vocational-technical-high-school-is-looking-for-a-merrimac-representative-for-school-committee/,"Merrimac's Whittier regional representative is filled by appointment under the regional structure, not direct municipal election."
Merrimac,Housing Authority tenant/resident and state-appointed seats,appointed,https://townofmerrimac.com/wp-content/uploads/2026/05/2025-Annual-Town-Report.pdf,Only three local voter-elected Housing Authority seats are serialized; non-elected authority seats are excluded.
Methuen,Housing Authority non-elected seats,appointed,https://www.cityofmethuen.net/582/Housing-Authority,Only two Housing Authority seats are voter-elected; the other three seats are excluded from the elected Post.
Methuen,School Committee Mayor ex officio seat,appointed,https://www.methuen.k12.ma.us/school-community/directory,The Mayor chairs the School Committee ex officio and is not an additional voter-elected School Committee member seat.
