municipality,office_id,seat,person_name,current_status,source_url,retrieved_on,notes
Stoneham,stoneham-ma/select-board,1,Troy M. Lau,verified-current,https://www.stoneham-ma.gov/244/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/library-trustee,3,Austin Haley,verified-current,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/library-trustee,4,Jane Francis,verified-current,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/library-trustee,5,Patricia DiPietro,verified-current,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/library-trustee,6,Susan Waldman Fixman,verified-current,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/board-health,1,Catherine Louise Becker,verified-current,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoneham,stoneham-ma/board-health,2,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/board-health,3,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/housing-authority,1,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/housing-authority,2,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/housing-authority,3,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/housing-authority,4,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/moderator,1,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoneham,stoneham-ma/northeast-metro-vocational-school-representative,1,,unresolved,https://www.stoneham-ma.gov/DocumentCenter/View/12051/2026-Annual-Town-Election,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/select-board,1,Joseph M. Mokrisky,verified-current,https://www.stoughton.org/236/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/select-board,2,Debra Roberts,verified-current,https://www.stoughton.org/236/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/select-board,3,Stephen Cavey,verified-current,https://www.stoughton.org/236/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/select-board,4,Scott Carrara,verified-current,https://www.stoughton.org/236/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/select-board,5,Lori Jacques,verified-current,https://www.stoughton.org/236/Select-Board,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/school-committee,1,Jillian DiStefano,verified-current,https://stoughton.org/ArchiveCenter/ViewFile/Item/1135,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/school-committee,2,Karen Powers,verified-current,https://stoughton.org/ArchiveCenter/ViewFile/Item/1135,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/school-committee,3,Jennifer Sears,verified-current,https://stoughton.org/ArchiveCenter/ViewFile/Item/1135,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/school-committee,4,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/school-committee,5,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/housing-authority,1,Barry Crimmins,verified-current,https://stoughton.org/ArchiveCenter/ViewFile/Item/1135,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/housing-authority,2,George Hansen,verified-current,https://stoughton.org/ArchiveCenter/ViewFile/Item/1135,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/housing-authority,3,William Larkin,verified-current,https://stoughton.org/ArchiveCenter/ViewFile/Item/1135,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/housing-authority,4,,vacant,https://stoughton.org/ArchiveCenter/ViewFile/Item/1135,2026-08-25,Explicit vacancy shown in current official roster.
Stoughton,stoughton-ma/redevelopment-authority,1,Peter Buckley,verified-current,https://stoughton.org/ArchiveCenter/ViewFile/Item/1135,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/redevelopment-authority,2,Robert Desmond Jr.,verified-current,https://stoughton.org/ArchiveCenter/ViewFile/Item/1135,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/redevelopment-authority,3,Rachel Lazerus,verified-current,https://stoughton.org/ArchiveCenter/ViewFile/Item/1135,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/redevelopment-authority,4,,vacant,https://stoughton.org/ArchiveCenter/ViewFile/Item/1135,2026-08-25,Explicit vacancy shown in current official roster.
Stoughton,stoughton-ma/moderator,1,Robert E. Mullen Jr.,verified-current,https://stoughton.org/ArchiveCenter/ViewFile/Item/1135,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/southeastern-regional-vocational-school-committee,1,Robin Zoll,verified-current,https://stoughton.org/ArchiveCenter/ViewFile/Item/1135,2026-08-25,Current official municipal roster/election evidence supports holder; unresolved markers are intentional.
Stoughton,stoughton-ma/town-meeting-representative,1,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,2,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,3,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,4,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,5,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,6,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,7,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,8,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,9,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,10,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,11,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,12,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,13,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,14,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,15,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,16,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,17,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,18,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,19,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,20,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,21,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,22,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,23,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,24,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,25,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,26,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,27,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,28,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,29,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,30,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,31,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,32,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,33,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,34,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,35,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,36,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,37,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,38,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,39,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,40,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,41,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,42,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,43,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,44,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,45,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,46,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,47,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,48,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,49,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,50,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,51,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,52,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,53,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,54,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,55,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,56,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,57,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,58,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,59,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,60,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,61,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
Stoughton,stoughton-ma/town-meeting-representative,62,,unresolved,https://stoughton.org/DocumentCenter/View/6347/2026-ATM-STM-Warrant-Book-with-Articles-Motions-and-Committee-Reports,2026-08-25,Current holder not safely resolved from post-election official evidence; not presumed vacant.
