municipality,official_website_url,office_rows,schema_ready_rows,unresolved_rows,legal_source_urls,election_source_urls,results_source_urls,current_officeholder_verified_rows,known_vacancies,officeholder_unresolved_markers,person_validation_status,conflicts_notes,status
Ashfield,,4,4,0,https://www.ashfield.org/2148/Board-of-Assessors | https://ashfield.org/2153/Board-of-Health | https://www.ashfield.org/2155/Planning-Board | https://www.ashfield.org/2151/Select-Board,https://www.ashfield.org/2379/Elections-Voting,,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Ashland,,8,8,0,https://ecode360.com/34030918 | https://ecode360.com/34030917 | https://ecode360.com/34030925,,,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Athol,,3,2,1,https://www.athol-ma.gov/m/newsflash/Home/Detail/27?arc=51 | https://www.athol-ma.gov/340/Town-Charter,https://www.athol-ma.gov/494/Election-Information,https://www.athol-ma.gov/m/newsflash/Home/Detail/27?arc=51,0,0,0,schema-valid-for-serialized-persons,2026 official results show Athol and Royalston-specific school committee seats; total allocation requires district-agreement normalization.,locally-researched-partial-or-substantial
Attleboro,,6,6,0,https://www.cityofattleboro.us/1862/Elected-Officials,,,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Auburn,,1,1,0,https://www.auburnma.gov/283/Select-Board,https://www.auburnma.gov/256/Voting-Elections,https://www.auburnma.gov/Archive.aspx?AMID=41,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Avon,,10,7,3,https://www.avon-ma.gov/1741/Board-of-Assessors | https://www.avon-ma.gov/1740/Board-of-Health | https://www.avon-ma.gov/DocumentCenter/View/7711/April-14-2026-Local-Election | https://www.avon-ma.gov/1779/Library-Trustees | https://www.avon-ma.gov/1722/Planning-Board | https://www.avon-ma.gov/1721/Redevelopment-Authority | https://www.avon-ma.gov/1720/School-Committee | https://www.avon-ma.gov/1718/Sewer-Commission,https://www.avon-ma.gov/1863/Voting-Elections,https://www.avon-ma.gov/DocumentCenter/View/7711/April-14-2026-Local-Election,0,0,0,schema-valid-for-serialized-persons,"2026 official result shows a three-year Constable contest, vote for two; total number of constable positions remains unresolved. | 2026 official result shows a three-year Parks and Recreation contest, vote for two; total board composition remains unresolved. | 2026 official election result confirms a Select Board seat with a three-year term; total current board composition still needs controlling-source normalization.",locally-researched-partial-or-substantial
Ayer,,11,2,9,https://www.ayer.ma.us/185/Offices-on-the-Ballot | https://www.ayer.ma.us/424/Select-Board,https://www.ayer.ma.us/185/Offices-on-the-Ballot,https://www.ayer.ma.us/173/Election-Voting-Town-Meeting-Information,0,0,0,schema-valid-for-serialized-persons,Annual election 'Offices on the Ballot' establishes elected status and regular term; total board/committee composition remains unresolved in this pass. | Annual election 'Offices on the Ballot' establishes elected status and regular term; total board/committee composition remains unresolved in this pass. | Annual election 'Offices on the Ballot' establishes elected status and regular term; total board/committee composition remains unresolved in this pass. | Annual election 'Offices on the Ballot' establishes elected status and regular term; total board/committee composition remains unresolved in this pass. | Annual election 'Offices on the Ballot' establishes elected status and regular term; total board/committee composition remains unresolved in this pass. | Annual election 'Offices on the Ballot' establishes elected status and regular term; total board/committee composition remains unresolved in this pass. | Annual election 'Offices on the Ballot' establishes elected status and regular term; total board/committee composition remains unresolved in this pass. | Annual election 'Offices on the Ballot' establishes elected status and regular term; total board/committee composition remains unresolved in this pass. | Annual election 'Offices on the Ballot' establishes elected status and regular term; total board/committee composition remains unresolved in this pass.,locally-researched-partial-or-substantial
Barnstable,,4,4,0,https://ecode360.com/6560163 | https://ecode360.com/12065316,https://www.townofbarnstable.us/Departments/TownClerk/Office_Information/Election-Information.asp,https://www.townofbarnstable.us/Departments/TownClerk/Office_Information/Election-Information.asp,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Barre,,12,6,6,https://www.townofbarre.com/assessors | https://www.townofbarre.com/vertical/sites/%7BBE114F1B-906E-45B0-8413-50FFE8B51C22%7D/uploads/2026-ATE-4-6-Results-8x11-pdf.pdf | https://www.townofbarre.com/health | https://www.townofbarre.com/planning | https://www.townofbarre.com/selectboard | https://www.townofbarre.com/sewer | https://www.townofbarre.com/water,https://www.townofbarre.com/index.asp?DE=1707B3CD-D60D-428F-98A7-EF4732C396A9&SEC=227CF36F-CC5B-4428-AE07-F3A7F07F34B0,https://www.townofbarre.com/vertical/sites/%7BBE114F1B-906E-45B0-8413-50FFE8B51C22%7D/uploads/2026-ATE-4-6-Results-8x11-pdf.pdf,0,0,0,schema-valid-for-serialized-persons,"2026 annual election result establishes an elected 1-year Associate Planning Board seat; total associate-seat structure remains unresolved. | 2026 annual election result establishes an elected 2-year Constable seat; total number of constable positions remains unresolved. | 2026 result contains Felton Field contests with 1-, 2-, and 3-year terms, consistent with vacancies/unexpired terms; total commission size and regular term require normalization. | 2026 annual election result establishes an elected 5-year Housing Authority seat; total locally elected seat count remains unresolved. | 2026 annual election result shows two Library Trustee seats with 3-year terms; total board size remains unresolved. | 2026 result establishes a 3-year Quabbin Regional School Committee seat; Barre's total allocation requires district-agreement normalization.",locally-researched-partial-or-substantial
Becket,https://www.townofbecket.org/,8,7,1,https://www.townofbecket.org/select-board | https://www.townofbecket.org/town-clerk/pages/town-meetings-elections | https://www.townofbecket.org/planning-board | https://www.townofbecket.org/board-health | https://www.townofbecket.org/board-assessors | https://www.townofbecket.org/school-committee-central-berkshire-regional-school-district,https://www.townofbecket.org/town-clerk/pages/town-meetings-elections,https://www.townofbecket.org/town-clerk/files/2026-annual-town-election-results,13,0,3,schema-valid-for-serialized-persons,The 2026 ballot confirms an elected three-year Finance Committee seat; total elected membership was not independently normalized.,locally-researched-partial-or-substantial
Bedford,,9,9,0,https://bedfordma.gov/1042/Elections-Elected-Town-Officials,https://www.bedfordma.gov/281/Elections,https://www.bedfordma.gov/282/Elections-Results,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Belchertown,,1,1,0,https://ecode360.com/9050369,https://www.belchertown.org/290/Running-For-Town-Office,,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Bellingham,,9,3,6,https://ecode360.com/15942725,https://www.bellinghamma.org/669/Elections,https://www.bellinghamma.org/669/Election-Results,0,0,0,schema-valid-for-serialized-persons,Charter Article 3 establishes elected status; total composition is unresolved here where seats is null. | Charter Article 3 establishes elected status; total composition is unresolved here where seats is null. | Charter Article 3 establishes elected status; total composition is unresolved here where seats is null. | Charter Article 3 establishes elected status; total composition is unresolved here where seats is null. | Charter Article 3 establishes elected status; total composition is unresolved here where seats is null. | Charter Article 3 establishes elected status; total composition is unresolved here where seats is null.,locally-researched-partial-or-substantial
Belmont,,9,5,4,https://ecode360.com/27111365 | https://ecode360.com/27111378 | https://www.belmont-ma.gov/List.aspx | https://ecode360.com/27127139 | https://ecode360.com/15794982 | https://www.belmontlight.com/about/governance/ | https://www.belmont-ma.gov/1959/Governance,,,0,0,0,schema-valid-for-serialized-persons,Representative Town Meeting members are elected by precinct; exact current total/precinct allocation is still being normalized.,locally-researched-partial-or-substantial
Berkley,,1,1,0,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter124,https://www.mma.org/community/berkley/,,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Berlin,,8,6,2,https://www.townofberlin.com/DocumentCenter/View/1612/2026-Local-Town-Election | https://www.townofberlin.com/1328/Cemetery-Commission | https://townofberlin.com/1209/Berlin-Public-Library | https://www.townofberlin.com/1314/Planning-Board | https://townofberlin.com/1312/Select-Board,https://www.townofberlin.com/1290/Elections,https://www.townofberlin.com/DocumentCenter/View/1612/2026-Local-Town-Election,0,0,0,schema-valid-for-serialized-persons,2026 result establishes an elected regular 3-year Assessor seat plus a separate 1-year unexpired Assessor contest; total assessor-board size remains unresolved. | 2026 local election result contains a Board of Health contest; total board size and regular term remain unresolved.,locally-researched-partial-or-substantial
Bernardston,,11,4,7,https://www.townofbernardston.org/town-clerk/page/2025-annual-town-election-results | https://www.townofbernardston.org/board-health | https://www.townofbernardston.org/cushman-library/page/cushman-library-board-trustees | https://www.townofbernardston.org/recreation-commission | https://www.townofbernardston.org/selectboard/page/employment-and-volunteer-opportunities | https://www.townofbernardston.org/selectboard,https://www.townofbernardston.org/town-clerk,https://www.townofbernardston.org/town-clerk/page/2025-annual-town-election-results,0,0,0,schema-valid-for-serialized-persons,Elected status established by official 2025 Annual Town Election results; current total seat count/term remains unresolved in this pass. | Elected status established by official 2025 Annual Town Election results; current total seat count/term remains unresolved in this pass. | Elected status established by official 2025 Annual Town Election results; current total seat count/term remains unresolved in this pass. | Official town volunteer page identifies School Committee as elected with a 4-year term; town allocation/total district seats remain unresolved. | Elected status established by official 2025 Annual Town Election results; current total seat count/term remains unresolved in this pass. | Elected status established by official 2025 Annual Town Election results; current total seat count/term remains unresolved in this pass. | Elected status established by official 2025 Annual Town Election results; current total seat count/term remains unresolved in this pass.,locally-researched-partial-or-substantial
Beverly,,1,1,0,https://www.beverlyma.gov/429/City-Council,,,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Billerica,,8,8,0,https://billerica.gov/wp-content/uploads/2025/04/Billerica-Town-Officials-7-1-25-thru-6-30-26-v2.pdf | https://billerica.gov/161/Town-Meeting,https://town.billerica.ma.us/377/Election-Results-Information,https://town.billerica.ma.us/377/Election-Results-Information,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Blackstone,,12,12,0,https://ecode360.com/12065790 | https://ecode360.com/12065778,https://www.townofblackstone.org/827/Annual-Town-Election---April-6-2026,https://www.townofblackstone.org/827/Annual-Town-Election---April-6-2026,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Blandford,,14,6,8,https://townofblandford.gov/2026/06/13/2026-annual-town-election-results/ | https://townofblandford.gov/2022/06/11/2022-election-results/ | https://townofblandford.gov/town-departments/library/,https://townofblandford.gov/tag/elections/,https://townofblandford.gov/2026/06/13/2026-annual-town-election-results/,0,0,0,schema-valid-for-serialized-persons,Elected status and regular term are established by official annual election notices/results; total board/office seat count remains unresolved where seats is null. | Elected status and regular term are established by official annual election notices/results; total board/office seat count remains unresolved where seats is null. | Elected status and regular term are established by official annual election notices/results; total board/office seat count remains unresolved where seats is null. | Elected status and regular term are established by official annual election notices/results; total board/office seat count remains unresolved where seats is null. | Elected status and regular term are established by official annual election notices/results; total board/office seat count remains unresolved where seats is null. | Elected status and regular term are established by official annual election notices/results; total board/office seat count remains unresolved where seats is null. | Elected status and regular term are established by official annual election notices/results; total board/office seat count remains unresolved where seats is null. | Elected status and regular term are established by official annual election notices/results; total board/office seat count remains unresolved where seats is null.,locally-researched-partial-or-substantial
Bolton,,11,3,8,https://www.townofbolton.com/home/news/2025-caucus-results | https://www.townofbolton.com/node/871/ajax/aggregate,https://www.townofbolton.com/node/346/news | https://www.townofbolton.com/home/news/2025-caucus-results,https://www.townofbolton.com/node/346/news | https://www.townofbolton.com/town-clerk,0,0,0,schema-valid-for-serialized-persons,Official caucus results establish elected status and regular term; total seat count remains unresolved. | Official caucus results establish elected status and regular term; total seat count remains unresolved. | Official caucus results establish elected status and regular term; total seat count remains unresolved. | Official caucus results establish elected status and regular term; total seat count remains unresolved. | Official caucus results establish elected status and regular term; total seat count remains unresolved. The 2025 ballot also contained two 1-year unexpired seats. | Official caucus results establish elected status and term; total composition remains unresolved. | Official caucus results establish elected status and regular term; total seat count remains unresolved. One additional 2-year unexpired regional-school seat appeared in 2025. | Official caucus results establish elected status and regular term; total seat count remains unresolved.,locally-researched-partial-or-substantial
Boston,,2,2,0,https://www.boston.gov/vi/departments/elections/state-and-city-boston-election-results,https://www.boston.gov/vi/departments/elections/state-and-city-boston-election-results,https://www.boston.gov/vi/departments/elections/state-and-city-boston-election-results,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Bourne,,12,12,0,https://malegislature.gov/Laws/SessionLaws/Acts/2012/Chapter117,https://www.bourne-ma.gov/1239/Clerk,https://www.bourne-ma.gov/1239/Clerk,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Boxborough,,5,5,0,https://boxborough-ma.gov/292/Board-of-Health | https://www.boxborough-ma.gov/383/Library-Board-of-Trustees | https://boxborough-ma.gov/306/Planning-Board | https://boxborough-ma.gov/354/School-Committee | https://www.boxborough-ma.gov/327/Select-Board,https://www.boxborough-ma.gov/211/Elections-Voting,https://www.boxborough-ma.gov/215/Election-Results-from-Previous-Elections,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Boxford,,2,2,0,https://www.boxfordma.gov/429/Library-Board-of-Trustees | https://www.boxfordma.gov/453/Select-Board,https://www.boxfordma.gov/457/Town-Meeting-Election-Results-Annual-Rep,https://www.boxfordma.gov/CivicAlerts.aspx?AID=240,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Boylston,,1,1,0,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter66,https://www.mma.org/community/boylston/,,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Braintree,,7,7,0,https://www.braintreema.gov/m/faq?cat=34 | https://www.braintreema.gov/m/faq | https://braintreema.gov/374/School-Committee | https://www.braintreema.gov/419/Town-Council,https://braintreema.gov/435/Election-Information,https://braintreema.gov/427/Election-Results,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Brewster,,12,9,3,https://www.brewster-ma.gov/board-health | https://www.brewster-ma.gov/home/news/elected-offices-2026-annual-town-election-ballot-0 | https://malegislature.gov/Laws/SessionLaws/Acts/2022/Chapter396 | https://www.brewster-ma.gov/planning-board-and-planning-office | https://www.brewster-ma.gov/recreation-commission-department | https://www.brewster-ma.gov/nauset-regional-school-district-committee | https://www.brewster-ma.gov/brewster-school-committee | https://www.brewster-ma.gov/select-boardtown-manager,https://www.brewster-ma.gov/home/news/elected-offices-2026-annual-town-election-ballot-0 | https://www.brewster-ma.gov/town-clerk/pages/town-meetings-elections,https://www.brewster-ma.gov/town-clerk/pages/town-meetings-elections,0,0,0,schema-valid-for-serialized-persons,"2026 ballot contains one 3-year Constable seat, but total number of Constable positions is not established by this source. | 2026 ballot establishes an elected 5-year Housing Authority seat; current authority page lists four members but does not identify which seats are elected versus appointed, so elected seat count remains unresolved. | Nauset Regional representatives elected as provided by regional agreement; local allocation/term unresolved.",locally-researched-partial-or-substantial
Bridgewater,,4,3,1,https://malegislature.gov/Laws/SessionLaws/Acts/2018/Chapter404 | https://www.bridgewaterma.gov/government/town_clerk/elections/campaign_finance_reports.php,https://www.bridgewaterma.gov/government/town_clerk/elections/election_results_specimen_ballots.php,https://www.bridgewaterma.gov/government/town_clerk/elections/election_results_specimen_ballots.php,0,0,0,schema-valid-for-serialized-persons,"2018 charter §3-1 explicitly retains the regional School Committee as an elected office, but Bridgewater's current allocation and term structure require the regional agreement/current administrative code.",locally-researched-partial-or-substantial
Brimfield,,1,1,0,https://www.brimfieldma.org/select-board,https://www.brimfieldma.org/town-clerk/news/preview-abev-local-election-ballot,https://www.brimfieldma.org/town-clerk/news/official-local-election-results-june-12-2025,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Brockton,,1,1,0,https://brockton.ma.us/city-departments/public-schools/,,,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Brookfield,,3,3,0,https://www.brookfieldma.us/boards/board-of-assessors/ | https://www.brookfieldma.us/boards/planning-board/ | https://www.brookfieldma.us/departments/town-collector/,https://www.brookfieldma.us/news/,https://www.brookfieldma.us/news/,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Brookline,,6,5,1,https://www.brooklinema.gov/3985/Town-Constables | https://www.brooklinema.gov/CivicAlerts.aspx?AID=2028&ARC=3997 | https://www.brooklinema.gov/1724/Moderator | https://www.brooklinema.gov/138/Election-Information | https://www.brooklinema.gov/343/Select-Board | https://www.brooklinema.gov/264/Town-Meeting,https://www.brooklinema.gov/138/Election-Information,https://www.brooklinema.gov/1028/Election-Results,0,0,0,schema-valid-for-serialized-persons,Official town-wide election materials establish School Committee as an elected town-wide office with regular three-year seats. Total committee size remains unresolved in this pass.,locally-researched-partial-or-substantial
Buckland,,7,5,2,https://www.town.buckland.ma.us/assessors | https://www.town.buckland.ma.us/board-health | https://www.town.buckland.ma.us/finance-committee | https://www.town.buckland.ma.us/home/news/nomination-papers-available-february-12th-june-2nd-annual-town-election | https://www.town.buckland.ma.us/select-board,https://www.town.buckland.ma.us/town-clerk/pages/voting-elections,https://www.town.buckland.ma.us/town-clerk/pages/voting-elections,0,0,0,schema-valid-for-serialized-persons,2026 election notice establishes elected status and 3-year term; total trustee-board size remains unresolved. | 2026 election notice establishes an elected 3-year regional-school seat; Buckland's total district allocation remains unresolved.,locally-researched-partial-or-substantial
Burlington,,13,5,8,https://www.burlington.org/757/Campaign-Finance-Reports | https://www.burlington.org/209/Board-of-Health-Elected-Board | https://www.burlington.org/407/Planning-Board | https://www.burlington.org/399/Town-Meetings,https://www.burlington.org/757/Campaign-Finance-Reports,,0,0,0,schema-valid-for-serialized-persons,Official municipal campaign-finance/election materials identify this as an elected local office. Total composition/regular term remains unresolved where not otherwise established. | Official municipal campaign-finance/election materials identify this as an elected local office. Total composition/regular term remains unresolved where not otherwise established. | Official municipal campaign-finance/election materials identify this as an elected local office. Total composition/regular term remains unresolved where not otherwise established. | Official municipal campaign-finance/election materials identify this as an elected local office. Total composition/regular term remains unresolved where not otherwise established. | Official municipal campaign-finance/election materials identify this as an elected local office. Total composition/regular term remains unresolved where not otherwise established. | Official municipal campaign-finance/election materials identify this as an elected local office. Total composition/regular term remains unresolved where not otherwise established. | Official municipal campaign-finance/election materials identify this as an elected local office. Total composition/regular term remains unresolved where not otherwise established. | Official municipal campaign-finance/election materials identify this as an elected local office. Total composition/regular term remains unresolved where not otherwise established.,locally-researched-partial-or-substantial
Cambridge,,2,2,0,https://www.cambridgema.gov/departments/electioncommission/cambridgemunicipalelections,https://www.cambridgema.gov/departments/electioncommission/cambridgemunicipalelections,,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Canton,,8,3,5,https://town.canton.ma.us/911/Elected-Boards-Committees | https://town.canton.ma.us/238/Planning-Board | https://town.canton.ma.us/243/School-Committee,https://www.town.canton.ma.us/988/Citizens-Guide---Town-of-Canton,,0,0,0,schema-valid-for-serialized-persons,Official town Elected Boards & Committees index establishes elected status; total elected seat count and term remain unresolved in this pass. | Official town Elected Boards & Committees index establishes elected status; total elected seat count and term remain unresolved in this pass. | Official town Elected Boards & Committees index establishes elected status; total elected seat count and term remain unresolved in this pass. | Official town Elected Boards & Committees index establishes elected status; total elected seat count and term remain unresolved in this pass. | Official town Elected Boards & Committees index establishes elected status; total elected seat count and term remain unresolved in this pass.,locally-researched-partial-or-substantial
Carlisle,,7,7,0,https://www.carlislema.gov/309/Elected-Officials,https://www.carlislema.gov/CivicAlerts.aspx?AID=695,,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Carver,,4,4,0,https://www.carverma.gov/library-trustees | https://www.carverma.gov/planning-board | https://www.carverma.gov/school-committee | https://www.carverma.gov/select-board,https://www.carverma.gov/town-clerk/news/april-25-2026-local-town-election,,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Charlemont,https://charlemont-ma.us/,11,6,5,https://charlemont-ma.us/p/24/Town-Clerk | https://charlemont-ma.us/files/January_2026_Newsletter.pdf | https://charlemont-ma.us/p/50/Board-of-Assessors | https://charlemont-ma.us/files/Town_Report__Year_end_2024_finished.pdf,https://charlemont-ma.us/files/January_2026_Newsletter.pdf,https://charlemont-ma.us/p/24/Town-Clerk,4,0,11,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Charlton,,13,13,0,https://www.townofcharlton.net/DocumentCenter/View/5762/Elected-Town-Officers-2026-PDF,https://www.townofcharlton.net/176/Elections,https://www.townofcharlton.net/DocumentCenter/View/5637/Annual-Town-Election---May-2026-PDF,0,0,0,schema-valid-for-serialized-persons,,locally-researched-partial-or-substantial
Chatham,,4,2,2,https://www.chatham-ma.gov/CivicSend/ViewMessage/Message/230039 | https://www.chatham-ma.gov/573/Whos-Who-at-Town-Meeting | https://www.chatham-ma.gov/CivicSend/ViewMessage/Message/282778 | https://chatham-ma.gov/367/Select-Board,https://www.chatham-ma.gov/342/Town-Meeting-Central,https://www.chatham-ma.gov/CivicSend/ViewMessage/Message/290355,0,0,0,schema-valid-for-serialized-persons,Official annual-election notice establishes an elected Chatham Housing Authority seat with a five-year regular term; total number of elected local seats remains unresolved. | Official 2026 nomination notice establishes elected Monomoy Regional School District Committee seats; Chatham's total allocation remains unresolved.,locally-researched-partial-or-substantial
