municipality,office_id,role,local_title,elected,seats,seat_structure,term_years,staggered_terms,partisan,legal_source_url,election_source_url,results_source_url,verification_status,notes
Acushnet,acushnet-ma/moderator,Moderator,Moderator,True,1,at-large,,,,https://acushnet.ma.us/1200/Elected-Officials,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1928/2026-Annual-Town-Election-Results,schema-ready,
Acushnet,acushnet-ma/park-commissioner,Park Commissioner,Park Commissioner,True,3,at-large,,,,https://acushnet.ma.us/1200/Elected-Officials,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1928/2026-Annual-Town-Election-Results,schema-ready,
Acushnet,acushnet-ma/planning-board-member,Planning Board Member,Planning Board Member,True,5,at-large,,,,https://acushnet.ma.us/1200/Elected-Officials,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1928/2026-Annual-Town-Election-Results,schema-ready,
Acushnet,acushnet-ma/school-committee-member,School Committee Member,School Committee Member,True,5,at-large,,,,https://acushnet.ma.us/1200/Elected-Officials,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1928/2026-Annual-Town-Election-Results,schema-ready,
Acushnet,acushnet-ma/select-board-member,Select Board Member,Board of Selectmen,True,3,at-large,3,True,,https://www.acushnet.ma.us/1291/Board-of-Selectmen,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1928/2026-Annual-Town-Election-Results,schema-ready,
Acushnet,acushnet-ma/town-clerk,Town Clerk,Town Clerk,True,1,at-large,3,,,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1928/2026-Annual-Town-Election-Results,schema-ready,
Acushnet,acushnet-ma/tree-warden,Tree Warden,Tree Warden,True,1,at-large,,,,https://acushnet.ma.us/1200/Elected-Officials,https://www.acushnet.ma.us/1206/Town-Clerk,https://www.acushnet.ma.us/1928/2026-Annual-Town-Election-Results,schema-ready,
Adams,adams-ma/assessor,Assessor,Assessor,True,1,at-large,,,,https://www.town.adams.ma.us/town-administrator/pages/act-establishing-selectmen-administrator-form-government-town-adams,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,schema-ready,Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null.
Adams,adams-ma/board-of-health-member,Board of Health Member,Board of Health Member,True,,at-large,,,,https://www.town.adams.ma.us/town-administrator/pages/act-establishing-selectmen-administrator-form-government-town-adams,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,elected-status-verified-seat-count-unresolved,Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null.
Adams,adams-ma/cemetery-commissioner,Cemetery Commissioner,Cemetery Commissioner,True,1,at-large,,,,https://www.town.adams.ma.us/town-administrator/pages/act-establishing-selectmen-administrator-form-government-town-adams,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,schema-ready,Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null.
Adams,adams-ma/housing-authority-member,Housing Authority Member,Housing Authority Member,True,,at-large,,,,https://www.town.adams.ma.us/town-administrator/pages/act-establishing-selectmen-administrator-form-government-town-adams,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,elected-status-verified-seat-count-unresolved,Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null.
Adams,adams-ma/library-trustee,Library Trustee,Library Trustee,True,,at-large,,,,https://www.town.adams.ma.us/town-administrator/pages/act-establishing-selectmen-administrator-form-government-town-adams,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,elected-status-verified-seat-count-unresolved,Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null.
Adams,adams-ma/moderator,Moderator,Moderator,True,1,at-large,1,,,https://www.town.adams.ma.us/town-administrator/pages/act-establishing-selectmen-administrator-form-government-town-adams,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,schema-ready,
Adams,adams-ma/park-commissioner,Park Commissioner,Park Commissioner,True,,at-large,,,,https://www.town.adams.ma.us/town-administrator/pages/act-establishing-selectmen-administrator-form-government-town-adams,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,elected-status-verified-seat-count-unresolved,Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null.
Adams,adams-ma/planning-board-member,Planning Board Member,Planning Board Member,True,5,at-large,5,True,,https://www.town.adams.ma.us/planning-board,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,schema-ready,
Adams,adams-ma/redevelopment-authority-member,Redevelopment Authority Member,Redevelopment Authority Member,True,,at-large,,,,https://www.town.adams.ma.us/town-administrator/pages/act-establishing-selectmen-administrator-form-government-town-adams,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,elected-status-verified-seat-count-unresolved,Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null.
Adams,adams-ma/regional-school-committee-member,Regional School Committee Member,Regional School Committee Member,True,,at-large,,,,https://www.town.adams.ma.us/town-administrator/pages/act-establishing-selectmen-administrator-form-government-town-adams,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,elected-status-verified-seat-count-unresolved,Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null.
Adams,adams-ma/regional-vocational-school-committee-member,Regional Vocational School Committee Member,Regional Vocational School Committee Member,True,,at-large,,,,https://www.town.adams.ma.us/town-administrator/pages/act-establishing-selectmen-administrator-form-government-town-adams,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,elected-status-verified-seat-count-unresolved,Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null.
Adams,adams-ma/select-board-member,Select Board Member,Board of Selectmen,True,5,at-large,3,True,,https://www.town.adams.ma.us/board-selectmen/pages/what-we-do,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,schema-ready,
Adams,adams-ma/town-clerk,Town Clerk,Town Clerk,True,1,at-large,,,,https://www.town.adams.ma.us/town-administrator/pages/act-establishing-selectmen-administrator-form-government-town-adams,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,schema-ready,Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null.
Adams,adams-ma/town-meeting-member,Town Meeting Member,Town Meeting Member,True,,district,,,,https://www.town.adams.ma.us/town-administrator/pages/act-establishing-selectmen-administrator-form-government-town-adams,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,elected-status-verified-seat-count-unresolved,Representative Town Meeting; exact elected member count/precinct allocation remains to be normalized from the representative-town-meeting special act.
Adams,adams-ma/treasurer-collector,Treasurer-Collector,Treasurer-Collector,True,1,at-large,,,,https://www.town.adams.ma.us/town-administrator/pages/act-establishing-selectmen-administrator-form-government-town-adams,https://www.town.adams.ma.us/town-clerk/pages/elections-voting,,schema-ready,Elected status established by the Adams selectmen-administrator special act; total board/authority seat count still being normalized where null.
Agawam,agawam-ma/city-council-member,City Council Member,City Council Member,True,11,at-large,2,,,https://www.agawam.ma.us/190/City-Council,https://www.agawam.ma.us/231/Election-Information,https://www.agawam.ma.us/231/Election-Information,schema-ready,
Agawam,agawam-ma/mayor,Mayor,Mayor,True,1,at-large,2,,,https://ecode360.com/12065192,https://www.agawam.ma.us/231/Election-Information,https://www.agawam.ma.us/231/Election-Information,schema-ready,
Agawam,agawam-ma/school-committee-member,School Committee Member,School Committee Member,True,6,at-large,2,,,https://ecode360.com/12065211?searchId=14400851291514820,https://www.agawam.ma.us/231/Election-Information,https://www.agawam.ma.us/231/Election-Information,schema-ready,School Committee has seven total members; six are elected at-large and the Mayor serves ex officio as chair.
Alford,alford-ma/assessor,Assessor,Assessor,True,,at-large,3,,,https://www.townofalford.org/home/town-clerk-office/news/nomination-papers-available-annual-town-election-may-19-2026,https://www.townofalford.org/home/town-clerk-office/news/nomination-papers-available-annual-town-election-may-19-2026,,elected-status-verified-seat-count-unresolved,
Alford,alford-ma/finance-committee-member,Finance Committee Member,Finance Committee Member,True,,at-large,3,,,https://www.townofalford.org/home/town-clerk-office/news/nomination-papers-available-annual-town-election-may-19-2026,https://www.townofalford.org/home/town-clerk-office/news/nomination-papers-available-annual-town-election-may-19-2026,,elected-status-verified-seat-count-unresolved,2026 nomination notice confirms elected Finance Committee seats; total committee size remains unresolved.
Alford,alford-ma/planning-board-member,Planning Board Member,Planning Board Member,True,,at-large,3,,,https://www.townofalford.org/home/town-clerk-office/news/nomination-papers-available-annual-town-election-may-19-2026,https://www.townofalford.org/home/town-clerk-office/news/nomination-papers-available-annual-town-election-may-19-2026,,elected-status-verified-seat-count-unresolved,
Alford,alford-ma/select-board-member,Select Board Member,Select Board Member,True,3,at-large,3,True,,https://www.townofalford.org/select-board,https://www.townofalford.org/home/town-clerk-office/news/nomination-papers-available-annual-town-election-may-19-2026,,schema-ready,
Amesbury,amesbury-ma/city-council-member,City Council Member,City Council Member,True,,mixed,,,,https://malegislature.gov/Laws/SessionLaws/Acts/2021/Chapter46,https://www.amesburyma.gov/329/Elections,https://www.amesburyma.gov/329/Elections,elected-status-verified-seat-count-unresolved,"School Committee has 6 elected citywide members plus Mayor ex officio, 7 total."
Amesbury,amesbury-ma/library-position,Library Position,Library Position,True,,at-large,,,,https://malegislature.gov/Laws/SessionLaws/Acts/2021/Chapter46,https://www.amesburyma.gov/329/Elections,https://www.amesburyma.gov/329/Elections,elected-status-verified-seat-count-unresolved,"School Committee has 6 elected citywide members plus Mayor ex officio, 7 total."
Amesbury,amesbury-ma/mayor,Mayor,Mayor,True,1,at-large,,False,,https://malegislature.gov/Laws/SessionLaws/Acts/2021/Chapter46,https://www.amesburyma.gov/329/Elections,https://www.amesburyma.gov/329/Elections,schema-ready,"School Committee has 6 elected citywide members plus Mayor ex officio, 7 total."
Amesbury,amesbury-ma/planning-board-member,Planning Board Member,Planning Board Member,True,,at-large,,,,https://malegislature.gov/Laws/SessionLaws/Acts/2021/Chapter46,https://www.amesburyma.gov/329/Elections,https://www.amesburyma.gov/329/Elections,elected-status-verified-seat-count-unresolved,"School Committee has 6 elected citywide members plus Mayor ex officio, 7 total."
Amesbury,amesbury-ma/school-committee-member,School Committee Member,School Committee Member,True,6,at-large,4,True,,https://malegislature.gov/Laws/SessionLaws/Acts/2021/Chapter46,https://www.amesburyma.gov/329/Elections,https://www.amesburyma.gov/329/Elections,schema-ready,"School Committee has 6 elected citywide members plus Mayor ex officio, 7 total."
Amherst,amherst-ma/councilor-at-large,Councilor-at-Large,Councilor-at-Large,True,3,at-large,2,False,,https://www.amherstma.gov/1079/Running-for-Elected-Office,https://www.amherstma.gov/1079/Running-for-Elected-Office,,schema-ready,
Amherst,amherst-ma/district-councilor,District Councilor,District Councilor,True,10,district,2,False,,https://www.amherstma.gov/1079/Running-for-Elected-Office,https://www.amherstma.gov/1079/Running-for-Elected-Office,,schema-ready,Two councilors elected from each of five districts.
Amherst,amherst-ma/housing-authority-member,Housing Authority Member,Housing Authority Member,True,3,at-large,2,False,,https://www.amherstma.gov/1079/Running-for-Elected-Office,https://www.amherstma.gov/1079/Running-for-Elected-Office,,schema-ready,Official Amherst materials state three seats are elected; one resident/participant seat and one state-appointed seat are not elected by town voters.
Amherst,amherst-ma/library-trustee,Library Trustee,Library Trustee,True,6,at-large,2,False,,https://www.amherstma.gov/1079/Running-for-Elected-Office,https://www.amherstma.gov/1079/Running-for-Elected-Office,,schema-ready,
Amherst,amherst-ma/oliver-smith-will-elector,Oliver Smith Will Elector,Oliver Smith Will Elector,True,1,at-large,2,False,,https://www.amherstma.gov/1079/Running-for-Elected-Office,https://www.amherstma.gov/1079/Running-for-Elected-Office,,schema-ready,
Amherst,amherst-ma/school-committee-member,School Committee Member,School Committee Member,True,5,at-large,2,False,,https://www.amherstma.gov/1079/Running-for-Elected-Office,https://www.amherstma.gov/1079/Running-for-Elected-Office,,schema-ready,
Andover,andover-ma/cornell-fund-trustee,Cornell Fund Trustee,Cornell Fund Trustee,True,,at-large,,,,https://ecode360.com/15616144,https://www.andoverma.gov/348/Elections,https://www.andoverma.gov/348/Elections,elected-status-verified-seat-count-unresolved,"Elected at Town Meeting from the floor, not by ordinary ballot."
Andover,andover-ma/housing-authority-member,Housing Authority Member,Housing Authority Member,True,,at-large,,,,https://ecode360.com/15615550,https://www.andoverma.gov/348/Elections,https://www.andoverma.gov/348/Elections,elected-status-verified-seat-count-unresolved,
Andover,andover-ma/moderator,Moderator,Moderator,True,1,at-large,,,,https://ecode360.com/15615550,https://www.andoverma.gov/348/Elections,https://www.andoverma.gov/348/Elections,schema-ready,
Andover,andover-ma/punchard-free-school-trustee,Punchard Free School Trustee,Punchard Free School Trustee,True,,at-large,,,,https://ecode360.com/15615550,https://www.andoverma.gov/348/Elections,https://www.andoverma.gov/348/Elections,elected-status-verified-seat-count-unresolved,Charter/bylaw confirms elected status; total current elected trustee count not normalized in this pass.
Andover,andover-ma/regional-vocational-school-committee-member,Regional Vocational School Committee Member,Regional Vocational School Committee Member,True,,at-large,,,,https://ecode360.com/15616144,https://www.andoverma.gov/348/Elections,https://www.andoverma.gov/348/Elections,elected-status-verified-seat-count-unresolved,
Andover,andover-ma/school-committee-member,School Committee Member,School Committee Member,True,5,at-large,,,,https://www.andoverma.gov/27/Governance,https://www.andoverma.gov/348/Elections,https://www.andoverma.gov/348/Elections,schema-ready,
Andover,andover-ma/select-board-member,Select Board Member,Select Board Member,True,5,at-large,3,True,,https://ecode360.com/15615550,https://www.andoverma.gov/348/Elections,https://www.andoverma.gov/348/Elections,schema-ready,
Aquinnah,aquinnah-ma/board-of-health-member,Board of Health Member,Board of Health Member,True,,at-large,,,,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/may-15th-2025-aquinnah-town-election-results,elected-status-verified-seat-count-unresolved,2026 official nomination notice confirms this is an elected office; total board/committee size remains unresolved where seats is null.
Aquinnah,aquinnah-ma/constable,Constable,Constable,True,1,at-large,,,,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/may-15th-2025-aquinnah-town-election-results,schema-ready,2026 official nomination notice confirms this is an elected office; total board/committee size remains unresolved where seats is null.
Aquinnah,aquinnah-ma/library-trustee,Library Trustee,Library Trustee,True,,at-large,,,,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/may-15th-2025-aquinnah-town-election-results,elected-status-verified-seat-count-unresolved,2026 official nomination notice confirms this is an elected office; total board/committee size remains unresolved where seats is null.
Aquinnah,aquinnah-ma/planning-board-member,Planning Board Member,Planning Board Member,True,,at-large,,,,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/may-15th-2025-aquinnah-town-election-results,elected-status-verified-seat-count-unresolved,2026 official nomination notice confirms this is an elected office; total board/committee size remains unresolved where seats is null.
Aquinnah,aquinnah-ma/school-committee-representative,School Committee Representative,School Committee Representative,True,,at-large,,,,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/may-15th-2025-aquinnah-town-election-results,elected-status-verified-seat-count-unresolved,2026 official nomination notice confirms this is an elected office; total board/committee size remains unresolved where seats is null.
Aquinnah,aquinnah-ma/select-board-member,Select Board Member,Select Board Member,True,,at-large,,,,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/may-15th-2025-aquinnah-town-election-results,elected-status-verified-seat-count-unresolved,2026 official nomination notice confirms this is an elected office; total board/committee size remains unresolved where seats is null.
Aquinnah,aquinnah-ma/town-clerk,Town Clerk,Town Clerk,True,1,at-large,,,,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/aq-annual-town-meeting-and-election-information-nominations-papers-are-available-0,https://www.aquinnah-ma.gov/home/news/may-15th-2025-aquinnah-town-election-results,schema-ready,2026 official nomination notice confirms this is an elected office; total board/committee size remains unresolved where seats is null.
Arlington,arlington-ma/assessor,Assessor,Assessor,True,,at-large,3,,,https://www.arlingtonma.gov/Home/Components/News/News/11488/191,https://www.arlingtonma.gov/Home/Components/News/News/11488/191,https://www.arlingtonma.gov/i-want-to/advanced-components/custom-documents-images-calendar/-item-22885/-selcat-86/-sortn-EName/-folder-6426/-toggle-next30days/-sortd-asc,elected-status-verified-seat-count-unresolved,
Arlington,arlington-ma/housing-authority-member,Housing Authority Member,Housing Authority Member,True,,at-large,5,,,https://www.arlingtonma.gov/Home/Components/News/News/11488/191,https://www.arlingtonma.gov/Home/Components/News/News/11488/191,https://www.arlingtonma.gov/i-want-to/advanced-components/custom-documents-images-calendar/-item-22885/-selcat-86/-sortn-EName/-folder-6426/-toggle-next30days/-sortd-asc,elected-status-verified-seat-count-unresolved,
Arlington,arlington-ma/school-committee-member,School Committee Member,School Committee Member,True,,at-large,3,,,https://www.arlingtonma.gov/Home/Components/News/News/11488/191,https://www.arlingtonma.gov/Home/Components/News/News/11488/191,https://www.arlingtonma.gov/i-want-to/advanced-components/custom-documents-images-calendar/-item-22885/-selcat-86/-sortn-EName/-folder-6426/-toggle-next30days/-sortd-asc,elected-status-verified-seat-count-unresolved,
Arlington,arlington-ma/select-board-member,Select Board Member,Select Board Member,True,5,at-large,3,True,,https://www.arlingtonma.gov/i-want-to/learn-about/arlington-history-facts,https://www.arlingtonma.gov/Home/Components/News/News/11488/191,https://www.arlingtonma.gov/i-want-to/advanced-components/custom-documents-images-calendar/-item-22885/-selcat-86/-sortn-EName/-folder-6426/-toggle-next30days/-sortd-asc,schema-ready,
Arlington,arlington-ma/town-meeting-member,Town Meeting Member,Town Meeting Member,True,252,district,,,,https://www.arlingtonma.gov/i-want-to/learn-about/arlington-history-facts,https://www.arlingtonma.gov/Home/Components/News/News/11488/191,https://www.arlingtonma.gov/i-want-to/advanced-components/custom-documents-images-calendar/-item-22885/-selcat-86/-sortn-EName/-folder-6426/-toggle-next30days/-sortd-asc,schema-ready,252 representatives elected from 21 precincts.
Ashburnham,ashburnham-ma/board-of-health-member,Board of Health Member,Board of Health Member,True,5,at-large,,,,https://www.ashburnham-ma.gov/350/Elected-Town-Officials,https://ashburnham-ma.gov/743/ELECTION-INFO---2026,https://ashburnham-ma.gov/743/ELECTION-INFO---2026,schema-ready,
Ashburnham,ashburnham-ma/library-trustee,Library Trustee,Library Trustee,True,6,at-large,,,,https://www.ashburnham-ma.gov/350/Elected-Town-Officials,https://ashburnham-ma.gov/743/ELECTION-INFO---2026,https://ashburnham-ma.gov/743/ELECTION-INFO---2026,schema-ready,
Ashburnham,ashburnham-ma/moderator,Moderator,Moderator,True,1,at-large,,,,https://ecode360.com/38371406,https://ashburnham-ma.gov/743/ELECTION-INFO---2026,https://ashburnham-ma.gov/743/ELECTION-INFO---2026,schema-ready,
Ashburnham,ashburnham-ma/municipal-light-board-member,Municipal Light Board Member,Municipal Light Board Member,True,3,at-large,,,,https://www.ashburnham-ma.gov/350/Elected-Town-Officials,https://ashburnham-ma.gov/743/ELECTION-INFO---2026,https://ashburnham-ma.gov/743/ELECTION-INFO---2026,schema-ready,
Ashburnham,ashburnham-ma/planning-board-member,Planning Board Member,Planning Board Member,True,5,at-large,,,,https://www.ashburnham-ma.gov/350/Elected-Town-Officials,https://ashburnham-ma.gov/743/ELECTION-INFO---2026,https://ashburnham-ma.gov/743/ELECTION-INFO---2026,schema-ready,
Ashburnham,ashburnham-ma/regional-school-committee-member,Regional School Committee Member,Regional School Committee Member,True,5,at-large,3,True,,https://www.ashburnham-ma.gov/350/Elected-Town-Officials,https://ashburnham-ma.gov/743/ELECTION-INFO---2026,https://ashburnham-ma.gov/743/ELECTION-INFO---2026,schema-ready,Five Ashburnham seats are shown on the regional committee listing.
